National_Dex,Pokemon,Form,Series
19,Rattata,,"['RGBY', 'FrLg', 'PE', 'GSC', 'DPPt', 'HgSs', 'BW', 'B2W2', 'OrAs', 'SM', 'UsUm', 'BdSp']"
20,Raticate,,"['RGBY', 'FrLg', 'PE', 'GSC', 'DPPt', 'HgSs', 'BW', 'B2W2', 'OrAs', 'SM', 'UsUm', 'BdSp']"
21,Spearow,,"['RGBY', 'FrLg', 'PE', 'GSC', 'DPPt', 'HgSs', 'BW', 'B2W2', 'XY', 'SM', 'UsUm', 'BdSp']"
22,Fearow,,"['RGBY', 'FrLg', 'PE', 'GSC', 'DPPt', 'HgSs', 'BW', 'B2W2', 'XY', 'SM', 'UsUm', 'BdSp']"
23,Ekans,,"['RGBY', 'FrLg', 'PE', 'GSC', 'DPPt', 'HgSs', 'XY', 'UsUm', 'BdSp', 'ZA', 'SV']"
24,Arbok,,"['RGBY', 'FrLg', 'PE', 'GSC', 'DPPt', 'HgSs', 'XY', 'UsUm', 'BdSp', 'ZA', 'SV']"
25,Pikachu,,"['RGBY', 'FrLg', 'PE', 'GSC', 'RSE', 'DPPt', 'HgSs', 'XY', 'OrAs', 'SM', 'UsUm', 'BdSp', 'LA', 'SwSh', 'ZA', 'SV']"
26,Raichu,,"['RGBY', 'FrLg', 'PE', 'GSC', 'RSE', 'DPPt', 'HgSs', 'XY', 'OrAs', 'UsUm', 'BdSp', 'LA', 'SwSh', 'ZA', 'SV']"
26,Raichu,Alolan,"['SwSh', 'ZA', 'SV']"
27,Sandshrew,,"['RGBY', 'FrLg', 'PE', 'GSC', 'RSE', 'DPPt', 'HgSs', 'BW', 'B2W2', 'XY', 'OrAs', 'SM', 'UsUm', 'BdSp', 'SwSh', 'SV']"
27,Sandshrew,Alolan,"['SwSh', 'SV']"
28,Sandslash,,"['RGBY', 'FrLg', 'PE', 'GSC', 'RSE', 'DPPt', 'HgSs', 'BW', 'B2W2', 'XY', 'OrAs', 'SM', 'UsUm', 'BdSp', 'SwSh', 'SV']"
28,Sandslash,Alolan,"['SwSh', 'SV']"
29,Nidoran-F,,"['RGBY', 'FrLg', 'PE', 'GSC', 'DPPt', 'HgSs', 'BW', 'B2W2', 'XY', 'OrAs', 'SM', 'UsUm', 'BdSp', 'SwSh']"
30,Nidorina,,"['RGBY', 'FrLg', 'PE', 'GSC', 'DPPt', 'HgSs', 'BW', 'B2W2', 'XY', 'BdSp', 'SwSh']"
31,Nidoqueen,,"['RGBY', 'FrLg', 'PE', 'GSC', 'DPPt', 'HgSs', 'BW', 'B2W2', 'XY', 'BdSp', 'SwSh']"
32,Nidoran-M,,"['RGBY', 'FrLg', 'PE', 'GSC', 'DPPt', 'HgSs', 'BW', 'B2W2', 'XY', 'OrAs', 'SM', 'UsUm', 'BdSp', 'SwSh']"
33,Nidorino,,"['RGBY', 'FrLg', 'PE', 'GSC', 'DPPt', 'HgSs', 'BW', 'B2W2', 'XY', 'BdSp', 'SwSh']"
34,Nidoking,,"['RGBY', 'FrLg', 'PE', 'GSC', 'DPPt', 'HgSs', 'BW', 'B2W2', 'XY', 'BdSp', 'SwSh']"
35,Clefairy,,"['RGBY', 'FrLg', 'PE', 'GSC', 'DPPt', 'HgSs', 'BW', 'B2W2', 'XY', 'OrAs', 'SM', 'UsUm', 'BdSp', 'LA', 'SwSh', 'ZA', 'SV']"
36,Clefable,,"['RGBY', 'FrLg', 'PE', 'GSC', 'DPPt', 'HgSs', 'BW', 'B2W2', 'XY', 'OrAs', 'SM', 'UsUm', 'BdSp', 'LA', 'SwSh', 'ZA', 'SV']"
37,Vulpix,,"['RGBY', 'FrLg', 'PE', 'GSC', 'RSE', 'DPPt', 'HgSs', 'BW', 'B2W2', 'XY', 'OrAs', 'SM', 'UsUm', 'BdSp', 'LA', 'SwSh', 'SV']"
37,Vulpix,Alolan,"['LA', 'SwSh', 'SV']"
38,Ninetales,,"['RGBY', 'FrLg', 'PE', 'GSC', 'RSE', 'DPPt', 'HgSs', 'BW', 'B2W2', 'XY', 'OrAs', 'SM', 'UsUm', 'BdSp', 'LA', 'SwSh', 'SV']"
38,Ninetales,Alolan,"['LA', 'SwSh', 'SV']"
39,Jigglypuff,,"['RGBY', 'FrLg', 'PE', 'GSC', 'RSE', 'DPPt', 'HgSs', 'BW', 'B2W2', 'XY', 'OrAs', 'SM', 'UsUm', 'BdSp', 'SwSh', 'ZA', 'SV']"
40,Wigglytuff,,"['RGBY', 'FrLg', 'PE', 'GSC', 'RSE', 'DPPt', 'HgSs', 'BW', 'B2W2', 'XY', 'OrAs', 'SM', 'UsUm', 'BdSp', 'SwSh', 'ZA', 'SV']"
41,Zubat,,"['RGBY', 'FrLg', 'PE', 'GSC', 'RSE', 'DPPt', 'HgSs', 'BW', 'B2W2', 'XY', 'OrAs', 'SM', 'UsUm', 'BdSp', 'LA', 'SwSh', 'ZA']"
42,Golbat,,"['RGBY', 'FrLg', 'PE', 'GSC', 'RSE', 'DPPt', 'HgSs', 'BW', 'B2W2', 'XY', 'OrAs', 'SM', 'UsUm', 'BdSp', 'LA', 'SwSh', 'ZA']"
43,Oddish,,"['RGBY', 'FrLg', 'PE', 'GSC', 'RSE', 'DPPt', 'HgSs', 'BW', 'XY', 'OrAs', 'BdSp', 'SwSh', 'SV']"
44,Gloom,,"['RGBY', 'FrLg', 'PE', 'GSC', 'RSE', 'DPPt', 'HgSs', 'BW', 'XY', 'OrAs', 'BdSp', 'SwSh', 'SV']"
45,Vileplume,,"['RGBY', 'FrLg', 'PE', 'GSC', 'RSE', 'DPPt', 'HgSs', 'BW', 'XY', 'OrAs', 'BdSp', 'SwSh', 'SV']"
46,Paras,,"['RGBY', 'FrLg', 'PE', 'GSC', 'DPPt', 'HgSs', 'BW', 'XY', 'OrAs', 'SM', 'UsUm', 'BdSp', 'LA']"
47,Parasect,,"['RGBY', 'FrLg', 'PE', 'GSC', 'DPPt', 'HgSs', 'BW', 'XY', 'OrAs', 'SM', 'UsUm', 'BdSp', 'LA']"
48,Venonat,,"['RGBY', 'FrLg', 'PE', 'GSC', 'DPPt', 'HgSs', 'BW', 'B2W2', 'XY', 'OrAs', 'BdSp', 'SV']"
49,Venomoth,,"['RGBY', 'FrLg', 'PE', 'GSC', 'DPPt', 'HgSs', 'BW', 'B2W2', 'XY', 'OrAs', 'BdSp', 'SV']"
50,Diglett,,"['RGBY', 'FrLg', 'PE', 'GSC', 'DPPt', 'HgSs', 'XY', 'OrAs', 'SM', 'UsUm', 'BdSp', 'SwSh', 'SV']"
50,Diglett,Alolan,"['SwSh', 'SV']"
51,Dugtrio,,"['RGBY', 'FrLg', 'PE', 'GSC', 'DPPt', 'HgSs', 'XY', 'OrAs', 'SM', 'UsUm', 'BdSp', 'SwSh', 'SV']"
51,Dugtrio,Alolan,"['SwSh', 'SV']"
52,Meowth,,"['RGBY', 'FrLg', 'PE', 'GSC', 'DPPt', 'HgSs', 'B2W2', 'OrAs', 'SM', 'UsUm', 'BdSp', 'SwSh', 'ZA', 'SV']"
52,Meowth,Alolan,"['SwSh', 'ZA', 'SV']"
52,Meowth,Galarian,"['SwSh', 'ZA', 'SV']"
53,Persian,,"['RGBY', 'FrLg', 'PE', 'GSC', 'DPPt', 'HgSs', 'B2W2', 'OrAs', 'SM', 'UsUm', 'BdSp', 'SwSh', 'ZA', 'SV']"
53,Persian,Alolan,"['SwSh', 'ZA', 'SV']"
54,Psyduck,,"['RGBY', 'FrLg', 'PE', 'GSC', 'RSE', 'DPPt', 'HgSs', 'BW', 'B2W2', 'XY', 'OrAs', 'SM', 'UsUm', 'BdSp', 'LA', 'SwSh', 'SV']"
55,Golduck,,"['RGBY', 'FrLg', 'PE', 'GSC', 'RSE', 'DPPt', 'HgSs', 'BW', 'B2W2', 'XY', 'OrAs', 'SM', 'UsUm', 'BdSp', 'LA', 'SwSh', 'SV']"
56,Mankey,,"['RGBY', 'FrLg', 'PE', 'GSC', 'DPPt', 'HgSs', 'BW', 'B2W2', 'XY', 'OrAs', 'SM', 'UsUm', 'BdSp', 'ZA', 'SV']"
57,Primeape,,"['RGBY', 'FrLg', 'PE', 'GSC', 'DPPt', 'HgSs', 'BW', 'B2W2', 'XY', 'OrAs', 'SM', 'UsUm', 'BdSp', 'ZA', 'SV']"
58,Growlithe,,"['RGBY', 'FrLg', 'PE', 'GSC', 'DPPt', 'HgSs', 'B2W2', 'XY', 'OrAs', 'SM', 'UsUm', 'BdSp', 'SwSh', 'SV']"
58,Growlithe,Hisuian,"['LA', 'SV']"
59,Arcanine,,"['RGBY', 'FrLg', 'PE', 'GSC', 'DPPt', 'HgSs', 'B2W2', 'XY', 'OrAs', 'SM', 'UsUm', 'BdSp', 'SwSh', 'SV']"
59,Arcanine,Hisuian,"['LA', 'SV']"
60,Poliwag,,"['RGBY', 'FrLg', 'PE', 'GSC', 'DPPt', 'HgSs', 'BW', 'B2W2', 'XY', 'SM', 'UsUm', 'BdSp', 'SwSh', 'SV']"
61,Poliwhirl,,"['RGBY', 'FrLg', 'PE', 'GSC', 'DPPt', 'HgSs', 'BW', 'B2W2', 'XY', 'SM', 'UsUm', 'BdSp', 'SwSh', 'SV']"
62,Poliwrath,,"['RGBY', 'FrLg', 'PE', 'GSC', 'DPPt', 'HgSs', 'BW', 'B2W2', 'XY', 'SM', 'UsUm', 'BdSp', 'SwSh', 'SV']"
63,Abra,,"['RGBY', 'FrLg', 'PE', 'GSC', 'RSE', 'DPPt', 'HgSs', 'BW', 'B2W2', 'XY', 'OrAs', 'SM', 'UsUm', 'BdSp', 'LA', 'SwSh', 'ZA']"
64,Kadabra,,"['RGBY', 'FrLg', 'PE', 'GSC', 'RSE', 'DPPt', 'HgSs', 'BW', 'B2W2', 'XY', 'OrAs', 'SM', 'UsUm', 'BdSp', 'LA', 'SwSh', 'ZA']"
65,Alakazam,,"['RGBY', 'FrLg', 'PE', 'GSC', 'RSE', 'DPPt', 'HgSs', 'BW', 'B2W2', 'XY', 'OrAs', 'SM', 'UsUm', 'BdSp', 'LA', 'SwSh', 'ZA']"
66,Machop,,"['RGBY', 'FrLg', 'PE', 'GSC', 'RSE', 'DPPt', 'HgSs', 'BW', 'XY', 'OrAs', 'SM', 'UsUm', 'BdSp', 'LA', 'SwSh', 'ZA']"
67,Machoke,,"['RGBY', 'FrLg', 'PE', 'GSC', 'RSE', 'DPPt', 'HgSs', 'BW', 'XY', 'OrAs', 'SM', 'UsUm', 'BdSp', 'LA', 'SwSh', 'ZA']"
68,Machamp,,"['RGBY', 'FrLg', 'PE', 'GSC', 'RSE', 'DPPt', 'HgSs', 'BW', 'XY', 'OrAs', 'SM', 'UsUm', 'BdSp', 'LA', 'SwSh', 'ZA']"
69,Bellsprout,,"['RGBY', 'FrLg', 'PE', 'GSC', 'DPPt', 'HgSs', 'BW', 'XY', 'SM', 'BdSp', 'ZA', 'SV']"
70,Weepinbell,,"['RGBY', 'FrLg', 'PE', 'GSC', 'DPPt', 'HgSs', 'BW', 'XY', 'SM', 'BdSp', 'ZA', 'SV']"
71,Victreebel,,"['RGBY', 'FrLg', 'PE', 'GSC', 'DPPt', 'HgSs', 'BW', 'XY', 'SM', 'BdSp', 'ZA', 'SV']"
72,Tentacool,,"['RGBY', 'FrLg', 'PE', 'GSC', 'RSE', 'DPPt', 'HgSs', 'XY', 'OrAs', 'SM', 'UsUm', 'BdSp', 'LA', 'SwSh', 'SV']"
73,Tentacruel,,"['RGBY', 'FrLg', 'PE', 'GSC', 'RSE', 'DPPt', 'HgSs', 'XY', 'OrAs', 'SM', 'UsUm', 'BdSp', 'LA', 'SwSh', 'SV']"
74,Geodude,,"['RGBY', 'FrLg', 'PE', 'GSC', 'RSE', 'DPPt', 'HgSs', 'BW', 'XY', 'OrAs', 'SM', 'UsUm', 'BdSp', 'LA', 'SV']"
74,Geodude,Alolan,['SV']
75,Graveler,,"['RGBY', 'FrLg', 'PE', 'GSC', 'RSE', 'DPPt', 'HgSs', 'BW', 'XY', 'OrAs', 'SM', 'UsUm', 'BdSp', 'LA', 'SV']"
75,Graveler,Alolan,['SV']
76,Golem,,"['RGBY', 'FrLg', 'PE', 'GSC', 'RSE', 'DPPt', 'HgSs', 'BW', 'XY', 'OrAs', 'SM', 'UsUm', 'BdSp', 'LA', 'SV']"
76,Golem,Alolan,['SV']
77,Ponyta,,"['RGBY', 'FrLg', 'PE', 'GSC', 'DPPt', 'HgSs', 'BW', 'XY', 'OrAs', 'BdSp', 'LA', 'SwSh']"
77,Ponyta,Galarian,['SwSh']
78,Rapidash,,"['RGBY', 'FrLg', 'PE', 'GSC', 'DPPt', 'HgSs', 'BW', 'XY', 'OrAs', 'BdSp', 'LA', 'SwSh']"
78,Rapidash,Galarian,['SwSh']
79,Slowpoke,,"['RGBY', 'FrLg', 'PE', 'GSC', 'DPPt', 'HgSs', 'BW', 'B2W2', 'XY', 'OrAs', 'SM', 'UsUm', 'BdSp', 'SwSh', 'ZA', 'SV']"
79,Slowpoke,Galarian,"['SwSh', 'ZA', 'SV']"
80,Slowbro,,"['RGBY', 'FrLg', 'PE', 'GSC', 'DPPt', 'HgSs', 'BW', 'B2W2', 'XY', 'OrAs', 'SM', 'UsUm', 'BdSp', 'SwSh', 'ZA', 'SV']"
80,Slowbro,Galarian,"['SwSh', 'ZA', 'SV']"
81,Magnemite,,"['RGBY', 'FrLg', 'PE', 'GSC', 'RSE', 'DPPt', 'HgSs', 'BW', 'B2W2', 'XY', 'OrAs', 'SM', 'UsUm', 'BdSp', 'LA', 'SwSh', 'SV']"
82,Magneton,,"['RGBY', 'FrLg', 'PE', 'GSC', 'RSE', 'DPPt', 'HgSs', 'BW', 'B2W2', 'XY', 'OrAs', 'SM', 'UsUm', 'BdSp', 'LA', 'SwSh', 'SV']"
83,Farfetch'd,,"['RGBY', 'FrLg', 'PE', 'GSC', 'DPPt', 'HgSs', 'BW', 'B2W2', 'XY', 'BdSp', 'SwSh', 'ZA']"
83,Farfetch'd,Galarian,"['SwSh', 'ZA']"
84,Doduo,,"['RGBY', 'FrLg', 'PE', 'GSC', 'RSE', 'DPPt', 'HgSs', 'BW', 'B2W2', 'XY', 'OrAs', 'BdSp', 'SV']"
85,Dodrio,,"['RGBY', 'FrLg', 'PE', 'GSC', 'RSE', 'DPPt', 'HgSs', 'BW', 'B2W2', 'XY', 'OrAs', 'BdSp', 'SV']"
86,Seel,,"['RGBY', 'FrLg', 'PE', 'GSC', 'DPPt', 'HgSs', 'BW', 'B2W2', 'XY', 'OrAs', 'UsUm', 'BdSp', 'SV']"
87,Dewgong,,"['RGBY', 'FrLg', 'PE', 'GSC', 'DPPt', 'HgSs', 'BW', 'B2W2', 'XY', 'OrAs', 'UsUm', 'BdSp', 'SV']"
88,Grimer,,"['RGBY', 'FrLg', 'PE', 'GSC', 'RSE', 'DPPt', 'HgSs', 'B2W2', 'XY', 'OrAs', 'SM', 'UsUm', 'BdSp', 'SV']"
88,Grimer,Alolan,['SV']
89,Muk,,"['RGBY', 'FrLg', 'PE', 'GSC', 'RSE', 'DPPt', 'HgSs', 'B2W2', 'XY', 'OrAs', 'SM', 'UsUm', 'BdSp', 'SV']"
89,Muk,Alolan,['SV']
90,Shellder,,"['RGBY', 'FrLg', 'PE', 'GSC', 'DPPt', 'HgSs', 'BW', 'B2W2', 'XY', 'SM', 'UsUm', 'BdSp', 'SwSh', 'SV']"
91,Cloyster,,"['RGBY', 'FrLg', 'PE', 'GSC', 'DPPt', 'HgSs', 'BW', 'B2W2', 'XY', 'SM', 'UsUm', 'BdSp', 'SwSh', 'SV']"
92,Gastly,,"['RGBY', 'FrLg', 'PE', 'GSC', 'DPPt', 'HgSs', 'BW', 'XY', 'SM', 'UsUm', 'BdSp', 'LA', 'SwSh', 'ZA', 'SV']"
93,Haunter,,"['RGBY', 'FrLg', 'PE', 'GSC', 'DPPt', 'HgSs', 'BW', 'XY', 'SM', 'UsUm', 'BdSp', 'LA', 'SwSh', 'ZA', 'SV']"
94,Gengar,,"['RGBY', 'FrLg', 'PE', 'GSC', 'DPPt', 'HgSs', 'BW', 'XY', 'SM', 'UsUm', 'BdSp', 'LA', 'SwSh', 'ZA', 'SV']"
95,Onix,,"['RGBY', 'FrLg', 'PE', 'GSC', 'DPPt', 'HgSs', 'BW', 'B2W2', 'XY', 'OrAs', 'UsUm', 'BdSp', 'LA', 'SwSh', 'ZA']"
96,Drowzee,,"['RGBY', 'FrLg', 'PE', 'GSC', 'DPPt', 'HgSs', 'B2W2', 'XY', 'OrAs', 'SM', 'UsUm', 'BdSp', 'SV']"
97,Hypno,,"['RGBY', 'FrLg', 'PE', 'GSC', 'DPPt', 'HgSs', 'B2W2', 'XY', 'OrAs', 'SM', 'UsUm', 'BdSp', 'SV']"
98,Krabby,,"['RGBY', 'FrLg', 'PE', 'GSC', 'DPPt', 'HgSs', 'BW', 'B2W2', 'XY', 'OrAs', 'BdSp', 'SwSh']"
99,Kingler,,"['RGBY', 'FrLg', 'PE', 'GSC', 'DPPt', 'HgSs', 'BW', 'B2W2', 'XY', 'OrAs', 'BdSp', 'SwSh']"
100,Voltorb,,"['RGBY', 'FrLg', 'PE', 'GSC', 'RSE', 'DPPt', 'HgSs', 'XY', 'OrAs', 'UsUm', 'BdSp', 'SV']"
100,Voltorb,Hisuian,"['LA', 'SV']"
101,Electrode,,"['RGBY', 'FrLg', 'PE', 'GSC', 'RSE', 'DPPt', 'HgSs', 'XY', 'OrAs', 'UsUm', 'BdSp', 'SV']"
101,Electrode,Hisuian,"['LA', 'SV']"
102,Exeggcute,,"['RGBY', 'FrLg', 'PE', 'GSC', 'DPPt', 'HgSs', 'BW', 'XY', 'SM', 'UsUm', 'BdSp', 'SwSh', 'SV']"
103,Exeggutor,,"['RGBY', 'FrLg', 'PE', 'GSC', 'DPPt', 'HgSs', 'BW', 'XY', 'UsUm', 'BdSp', 'SwSh', 'SV']"
103,Exeggutor,Alolan,"['SwSh', 'SV']"
104,Cubone,,"['RGBY', 'FrLg', 'PE', 'GSC', 'DPPt', 'HgSs', 'BW', 'XY', 'SM', 'UsUm', 'BdSp', 'SwSh', 'ZA']"
105,Marowak,,"['RGBY', 'FrLg', 'PE', 'GSC', 'DPPt', 'HgSs', 'BW', 'XY', 'UsUm', 'BdSp', 'SwSh', 'ZA']"
105,Marowak,Alolan,"['SwSh', 'ZA']"
106,Hitmonlee,,"['RGBY', 'FrLg', 'PE', 'GSC', 'DPPt', 'HgSs', 'BW', 'XY', 'OrAs', 'BdSp', 'SwSh', 'SV']"
107,Hitmonchan,,"['RGBY', 'FrLg', 'PE', 'GSC', 'DPPt', 'HgSs', 'BW', 'XY', 'OrAs', 'BdSp', 'SwSh', 'SV']"
108,Lickitung,,"['RGBY', 'FrLg', 'PE', 'GSC', 'DPPt', 'HgSs', 'BW', 'B2W2', 'XY', 'UsUm', 'BdSp', 'LA', 'SwSh']"
109,Koffing,,"['RGBY', 'FrLg', 'PE', 'GSC', 'RSE', 'DPPt', 'HgSs', 'B2W2', 'OrAs', 'BdSp', 'SwSh', 'SV']"
110,Weezing,,"['RGBY', 'FrLg', 'PE', 'GSC', 'RSE', 'DPPt', 'HgSs', 'B2W2', 'OrAs', 'BdSp', 'SwSh', 'SV']"
110,Weezing,Galarian,"['SwSh', 'SV']"
111,Rhyhorn,,"['RGBY', 'FrLg', 'PE', 'GSC', 'RSE', 'DPPt', 'HgSs', 'BW', 'B2W2', 'XY', 'OrAs', 'SM', 'UsUm', 'BdSp', 'LA', 'SwSh', 'SV']"
112,Rhydon,,"['RGBY', 'FrLg', 'PE', 'GSC', 'RSE', 'DPPt', 'HgSs', 'BW', 'B2W2', 'XY', 'OrAs', 'SM', 'UsUm', 'BdSp', 'LA', 'SwSh', 'SV']"
113,Chansey,,"['RGBY', 'FrLg', 'PE', 'GSC', 'DPPt', 'HgSs', 'BW', 'B2W2', 'XY', 'OrAs', 'SM', 'UsUm', 'BdSp', 'LA', 'SwSh', 'SV']"
114,Tangela,,"['RGBY', 'FrLg', 'PE', 'GSC', 'DPPt', 'HgSs', 'BW', 'B2W2', 'XY', 'OrAs', 'BdSp', 'LA', 'SwSh']"
115,Kangaskhan,,"['RGBY', 'FrLg', 'PE', 'GSC', 'DPPt', 'HgSs', 'BW', 'XY', 'SM', 'UsUm', 'BdSp', 'SwSh', 'ZA']"
116,Horsea,,"['RGBY', 'FrLg', 'PE', 'GSC', 'RSE', 'DPPt', 'HgSs', 'BW', 'B2W2', 'XY', 'OrAs', 'SM', 'UsUm', 'BdSp', 'SwSh', 'SV']"
117,Seadra,,"['RGBY', 'FrLg', 'PE', 'GSC', 'RSE', 'DPPt', 'HgSs', 'BW', 'B2W2', 'XY', 'OrAs', 'SM', 'UsUm', 'BdSp', 'SwSh', 'SV']"
118,Goldeen,,"['RGBY', 'FrLg', 'PE', 'GSC', 'RSE', 'DPPt', 'HgSs', 'BW', 'B2W2', 'XY', 'OrAs', 'SM', 'UsUm', 'BdSp', 'SwSh']"
119,Seaking,,"['RGBY', 'FrLg', 'PE', 'GSC', 'RSE', 'DPPt', 'HgSs', 'BW', 'B2W2', 'XY', 'OrAs', 'SM', 'UsUm', 'BdSp', 'SwSh']"
120,Staryu,,"['RGBY', 'FrLg', 'PE', 'GSC', 'RSE', 'DPPt', 'HgSs', 'BW', 'B2W2', 'XY', 'OrAs', 'SM', 'UsUm', 'BdSp', 'SwSh', 'ZA']"
121,Starmie,,"['RGBY', 'FrLg', 'PE', 'GSC', 'RSE', 'DPPt', 'HgSs', 'BW', 'B2W2', 'XY', 'OrAs', 'SM', 'UsUm', 'BdSp', 'SwSh', 'ZA']"
122,Mr. Mime,,"['RGBY', 'FrLg', 'PE', 'GSC', 'DPPt', 'HgSs', 'B2W2', 'XY', 'UsUm', 'BdSp', 'LA', 'SwSh', 'ZA']"
122,Mr. Mime,Galarian,"['SwSh', 'ZA']"
123,Scyther,,"['RGBY', 'FrLg', 'PE', 'GSC', 'DPPt', 'HgSs', 'XY', 'SM', 'UsUm', 'BdSp', 'LA', 'SwSh', 'ZA', 'SV']"
124,Jynx,,"['RGBY', 'FrLg', 'PE', 'GSC', 'DPPt', 'HgSs', 'BW', 'XY', 'UsUm', 'BdSp', 'SwSh']"
125,Electabuzz,,"['RGBY', 'FrLg', 'PE', 'GSC', 'DPPt', 'HgSs', 'BW', 'B2W2', 'XY', 'OrAs', 'SM', 'UsUm', 'BdSp', 'LA', 'SwSh', 'SV']"
126,Magmar,,"['RGBY', 'FrLg', 'PE', 'GSC', 'DPPt', 'HgSs', 'BW', 'B2W2', 'XY', 'OrAs', 'SM', 'UsUm', 'BdSp', 'LA', 'SwSh', 'SV']"
127,Pinsir,,"['RGBY', 'FrLg', 'PE', 'GSC', 'RSE', 'DPPt', 'HgSs', 'BW', 'B2W2', 'XY', 'OrAs', 'SM', 'UsUm', 'BdSp', 'SwSh', 'ZA']"
128,Tauros,,"['RGBY', 'FrLg', 'PE', 'GSC', 'DPPt', 'HgSs', 'XY', 'SM', 'UsUm', 'BdSp', 'SwSh', 'SV']"
128,Tauros,Aqua Breed,['SV']
128,Tauros,Blaze Breed,['SV']
128,Tauros,Paldean,['SV']
129,Magikarp,,"['RGBY', 'FrLg', 'PE', 'GSC', 'RSE', 'DPPt', 'HgSs', 'BW', 'B2W2', 'XY', 'OrAs', 'SM', 'UsUm', 'BdSp', 'LA', 'SwSh', 'ZA', 'SV']"
130,Gyarados,,"['RGBY', 'FrLg', 'PE', 'GSC', 'RSE', 'DPPt', 'HgSs', 'BW', 'B2W2', 'XY', 'OrAs', 'SM', 'UsUm', 'BdSp', 'LA', 'SwSh', 'ZA', 'SV']"
131,Lapras,,"['RGBY', 'FrLg', 'PE', 'GSC', 'DPPt', 'HgSs', 'BW', 'B2W2', 'XY', 'SM', 'UsUm', 'BdSp', 'SwSh', 'SV']"
132,Ditto,,"['RGBY', 'FrLg', 'PE', 'GSC', 'RSE', 'DPPt', 'HgSs', 'BW', 'B2W2', 'XY', 'OrAs', 'SM', 'UsUm', 'BdSp', 'SwSh', 'SV']"
133,Eevee,,"['RGBY', 'FrLg', 'PE', 'GSC', 'DPPt', 'HgSs', 'B2W2', 'XY', 'OrAs', 'SM', 'UsUm', 'BdSp', 'LA', 'SwSh', 'ZA', 'SV']"
134,Vaporeon,,"['RGBY', 'FrLg', 'PE', 'GSC', 'DPPt', 'HgSs', 'B2W2', 'XY', 'OrAs', 'SM', 'UsUm', 'BdSp', 'LA', 'SwSh', 'ZA', 'SV']"
135,Jolteon,,"['RGBY', 'FrLg', 'PE', 'GSC', 'DPPt', 'HgSs', 'B2W2', 'XY', 'OrAs', 'SM', 'UsUm', 'BdSp', 'LA', 'SwSh', 'ZA', 'SV']"
