Regional Dex #,National_Dex,Pokemon,Type 1,Type 2,Game Generation,Series
49,28,Sandslash,Ground,,Gen 2,GSC
50,23,Ekans,Poison,,Gen 2,GSC
51,24,Arbok,Poison,,Gen 2,GSC
52,206,Dunsparce,Normal,,Gen 2,GSC
53,179,Mareep,Electric,,Gen 2,GSC
54,180,Flaaffy,Electric,,Gen 2,GSC
55,181,Ampharos,Electric,,Gen 2,GSC
56,194,Wooper,Water,Ground,Gen 2,GSC
57,195,Quagsire,Water,Ground,Gen 2,GSC
58,92,Gastly,Ghost,Poison,Gen 2,GSC
59,93,Haunter,Ghost,Poison,Gen 2,GSC
60,94,Gengar,Ghost,Poison,Gen 2,GSC
61,201,Unown,Psychic,,Gen 2,GSC
62,95,Onix,Rock,Ground,Gen 2,GSC
63,208,Steelix,Steel,Ground,Gen 2,GSC
64,69,Bellsprout,Grass,Poison,Gen 2,GSC
65,70,Weepinbell,Grass,Poison,Gen 2,GSC
66,71,Victreebel,Grass,Poison,Gen 2,GSC
67,187,Hoppip,Grass,Flying,Gen 2,GSC
68,188,Skiploom,Grass,Flying,Gen 2,GSC
69,189,Jumpluff,Grass,Flying,Gen 2,GSC
70,46,Paras,Bug,Grass,Gen 2,GSC
71,47,Parasect,Bug,Grass,Gen 2,GSC
72,60,Poliwag,Water,,Gen 2,GSC
73,61,Poliwhirl,Water,,Gen 2,GSC
74,62,Poliwrath,Water,Fighting,Gen 2,GSC
75,186,Politoed,Water,,Gen 2,GSC
76,129,Magikarp,Water,,Gen 2,GSC
77,130,Gyarados,Water,Flying,Gen 2,GSC
78,118,Goldeen,Water,,Gen 2,GSC
79,119,Seaking,Water,,Gen 2,GSC
80,79,Slowpoke,Water,Psychic,Gen 2,GSC
81,80,Slowbro,Water,Psychic,Gen 2,GSC
82,199,Slowking,Water,Psychic,Gen 2,GSC
83,43,Oddish,Grass,Poison,Gen 2,GSC
84,44,Gloom,Grass,Poison,Gen 2,GSC
85,45,Vileplume,Grass,Poison,Gen 2,GSC
86,182,Bellossom,Grass,,Gen 2,GSC
87,96,Drowzee,Psychic,,Gen 2,GSC
88,97,Hypno,Psychic,,Gen 2,GSC
89,63,Abra,Psychic,,Gen 2,GSC
90,64,Kadabra,Psychic,,Gen 2,GSC
91,65,Alakazam,Psychic,,Gen 2,GSC
92,132,Ditto,Normal,,Gen 2,GSC
93,204,Pineco,Bug,,Gen 2,GSC
94,205,Forretress,Bug,Steel,Gen 2,GSC
95,29,Nidoran♀,Poison,,Gen 2,GSC
96,30,Nidorina,Poison,,Gen 2,GSC
97,31,Nidoqueen,Poison,Ground,Gen 2,GSC
98,32,Nidoran♂,Poison,,Gen 2,GSC
99,33,Nidorino,Poison,,Gen 2,GSC
100,34,Nidoking,Poison,Ground,Gen 2,GSC
101,193,Yanma,Bug,Flying,Gen 2,GSC
102,191,Sunkern,Grass,,Gen 2,GSC
103,192,Sunflora,Grass,,Gen 2,GSC
104,102,Exeggcute,Grass,Psychic,Gen 2,GSC
105,103,Exeggutor,Grass,Psychic,Gen 2,GSC
106,185,Sudowoodo,Rock,,Gen 2,GSC
107,202,Wobbuffet,Psychic,,Gen 2,GSC
108,48,Venonat,Bug,Poison,Gen 2,GSC
109,49,Venomoth,Bug,Poison,Gen 2,GSC
110,123,Scyther,Bug,Flying,Gen 2,GSC
111,212,Scizor,Bug,Steel,Gen 2,GSC
112,127,Pinsir,Bug,,Gen 2,GSC
113,214,Heracross,Bug,Fighting,Gen 2,GSC
114,109,Koffing,Poison,,Gen 2,GSC
115,110,Weezing,Poison,,Gen 2,GSC
116,88,Grimer,Poison,,Gen 2,GSC
117,89,Muk,Poison,,Gen 2,GSC
118,81,Magnemite,Electric,Steel,Gen 2,GSC
119,82,Magneton,Electric,Steel,Gen 2,GSC
120,100,Voltorb,Electric,,Gen 2,GSC
121,101,Electrode,Electric,,Gen 2,GSC
122,190,Aipom,Normal,,Gen 2,GSC
123,209,Snubbull,Normal,,Gen 2,GSC
124,210,Granbull,Normal,,Gen 2,GSC
125,37,Vulpix,Fire,,Gen 2,GSC
126,38,Ninetales,Fire,,Gen 2,GSC
127,58,Growlithe,Fire,,Gen 2,GSC
128,59,Arcanine,Fire,,Gen 2,GSC
129,234,Stantler,Normal,,Gen 2,GSC
130,183,Marill,Water,,Gen 2,GSC
131,184,Azumarill,Water,,Gen 2,GSC
132,50,Diglett,Ground,,Gen 2,GSC
133,51,Dugtrio,Ground,,Gen 2,GSC
134,56,Mankey,Fighting,,Gen 2,GSC
135,57,Primeape,Fighting,,Gen 2,GSC
136,52,Meowth,Normal,,Gen 2,GSC
137,53,Persian,Normal,,Gen 2,GSC
138,54,Psyduck,Water,,Gen 2,GSC
139,55,Golduck,Water,,Gen 2,GSC
140,66,Machop,Fighting,,Gen 2,GSC
141,67,Machoke,Fighting,,Gen 2,GSC
142,68,Machamp,Fighting,,Gen 2,GSC
143,236,Tyrogue,Fighting,,Gen 2,GSC
144,106,Hitmonlee,Fighting,,Gen 2,GSC
145,107,Hitmonchan,Fighting,,Gen 2,GSC
146,237,Hitmontop,Fighting,,Gen 2,GSC
147,203,Girafarig,Normal,Psychic,Gen 2,GSC
148,128,Tauros,Normal,,Gen 2,GSC
149,241,Miltank,Normal,,Gen 2,GSC
150,240,Magby,Fire,,Gen 2,GSC
151,126,Magmar,Fire,,Gen 2,GSC
152,238,Smoochum,Ice,Psychic,Gen 2,GSC
153,124,Jynx,Ice,Psychic,Gen 2,GSC
154,239,Elekid,Electric,,Gen 2,GSC
155,125,Electabuzz,Electric,,Gen 2,GSC
156,122,Mr. Mime,Psychic,,Gen 2,GSC
157,235,Smeargle,Normal,,Gen 2,GSC
158,83,Farfetch'd,Normal,Flying,Gen 2,GSC
159,177,Natu,Psychic,Flying,Gen 2,GSC
160,178,Xatu,Psychic,Flying,Gen 2,GSC
161,211,Qwilfish,Water,Poison,Gen 2,GSC
162,72,Tentacool,Water,Poison,Gen 2,GSC
163,73,Tentacruel,Water,Poison,Gen 2,GSC
164,98,Krabby,Water,,Gen 2,GSC
165,99,Kingler,Water,,Gen 2,GSC
166,213,Shuckle,Bug,Rock,Gen 2,GSC
167,120,Staryu,Water,,Gen 2,GSC
168,121,Starmie,Water,Psychic,Gen 2,GSC
169,90,Shellder,Water,,Gen 2,GSC
170,91,Cloyster,Water,Ice,Gen 2,GSC
171,222,Corsola,Water,Rock,Gen 2,GSC
172,223,Remoraid,Water,,Gen 2,GSC
173,224,Octillery,Water,,Gen 2,GSC
174,170,Chinchou,Water,Electric,Gen 2,GSC
175,171,Lanturn,Water,Electric,Gen 2,GSC
176,86,Seel,Water,,Gen 2,GSC
177,87,Dewgong,Water,Ice,Gen 2,GSC
178,108,Lickitung,Normal,,Gen 2,GSC
179,114,Tangela,Grass,,Gen 2,GSC
180,133,Eevee,Normal,,Gen 2,GSC
181,134,Vaporeon,Water,,Gen 2,GSC
182,135,Jolteon,Electric,,Gen 2,GSC
183,136,Flareon,Fire,,Gen 2,GSC
184,196,Espeon,Psychic,,Gen 2,GSC
185,197,Umbreon,Dark,,Gen 2,GSC
186,116,Horsea,Water,,Gen 2,GSC
187,117,Seadra,Water,,Gen 2,GSC
188,230,Kingdra,Water,Dragon,Gen 2,GSC
189,207,Gligar,Ground,Flying,Gen 2,GSC
190,225,Delibird,Ice,Flying,Gen 2,GSC
191,220,Swinub,Ice,Ground,Gen 2,GSC
192,221,Piloswine,Ice,Ground,Gen 2,GSC
193,216,Teddiursa,Normal,,Gen 2,GSC
194,217,Ursaring,Normal,,Gen 2,GSC
195,231,Phanpy,Ground,,Gen 2,GSC
196,232,Donphan,Ground,,Gen 2,GSC
197,226,Mantine,Water,Flying,Gen 2,GSC
198,227,Skarmory,Steel,Flying,Gen 2,GSC
199,84,Doduo,Normal,Flying,Gen 2,GSC
200,85,Dodrio,Normal,Flying,Gen 2,GSC
201,77,Ponyta,Fire,,Gen 2,GSC
202,78,Rapidash,Fire,,Gen 2,GSC
203,104,Cubone,Ground,,Gen 2,GSC
204,105,Marowak,Ground,,Gen 2,GSC
205,115,Kangaskhan,Normal,,Gen 2,GSC
206,111,Rhyhorn,Ground,Rock,Gen 2,GSC
207,112,Rhydon,Ground,Rock,Gen 2,GSC
208,198,Murkrow,Dark,Flying,Gen 2,GSC
209,228,Houndour,Dark,Fire,Gen 2,GSC
210,229,Houndoom,Dark,Fire,Gen 2,GSC
211,218,Slugma,Fire,,Gen 2,GSC
212,219,Magcargo,Fire,Rock,Gen 2,GSC
213,215,Sneasel,Dark,Ice,Gen 2,GSC
214,200,Misdreavus,Ghost,,Gen 2,GSC
215,137,Porygon,Normal,,Gen 2,GSC
216,233,Porygon2,Normal,,Gen 2,GSC
217,113,Chansey,Normal,,Gen 2,GSC
218,242,Blissey,Normal,,Gen 2,GSC
219,131,Lapras,Water,Ice,Gen 2,GSC
224,142,Aerodactyl,Rock,Flying,Gen 2,GSC
225,143,Snorlax,Normal,,Gen 2,GSC
238,243,Raikou,Electric,,Gen 2,GSC
239,244,Entei,Fire,,Gen 2,GSC
240,245,Suicune,Water,,Gen 2,GSC
241,147,Dratini,Dragon,,Gen 2,GSC
242,148,Dragonair,Dragon,,Gen 2,GSC
243,149,Dragonite,Dragon,Flying,Gen 2,GSC
244,246,Larvitar,Rock,Ground,Gen 2,GSC
245,247,Pupitar,Rock,Ground,Gen 2,GSC
246,248,Tyranitar,Rock,Dark,Gen 2,GSC
247,249,Lugia,Psychic,Flying,Gen 2,GSC
248,250,Ho-Oh,Fire,Flying,Gen 2,GSC
251,251,Celebi,Psychic,Grass,Gen 2,GSC
