Pokemon    , Form         , Series, National_Dex
Drapion    ,              , LA    ,          452
Growlithe  , Hisuian      , LA    ,           58
Arcanine   , Hisuian      , LA    ,           59
Glameow    ,              , LA    ,          431
Purugly    ,              , LA    ,          432
Machop     ,              , LA    ,           66
Machoke    ,              , LA    ,           67
Machamp    ,              , LA    ,           68
Chatot     ,              , LA    ,          441
Duskull    ,              , LA    ,          355
Dusclops   ,              , LA    ,          356
Dusknoir   ,              , LA    ,          477
Piplup     ,              , LA    ,          393
Prinplup   ,              , LA    ,          394
Empoleon   ,              , LA    ,          395
Mantyke    ,              , LA    ,          458
Mantine    ,              , LA    ,          226
Basculin   ,              , LA    ,          550
Basculegion,              , LA    ,          902
Basculegion, Female       , LA    ,          902
Vulpix     ,              , LA    ,           37
Vulpix     , Alolan       , LA    ,           37
Ninetales  ,              , LA    ,           38
Ninetales  , Alolan       , LA    ,           38
Tentacool  ,              , LA    ,           72
Tentacruel ,              , LA    ,           73
Finneon    ,              , LA    ,          456
Lumineon   ,              , LA    ,          457
Magby      ,              , LA    ,          240
Magmar     ,              , LA    ,          126
Magmortar  ,              , LA    ,          467
Magnemite  ,              , LA    ,           81
Magneton   ,              , LA    ,           82
Magnezone  ,              , LA    ,          462
Bronzor    ,              , LA    ,          436
Bronzong   ,              , LA    ,          437
Elekid     ,              , LA    ,          239
Electabuzz ,              , LA    ,          125
Electivire ,              , LA    ,          466
Gligar     ,              , LA    ,          207
Gliscor    ,              , LA    ,          472
Gible      ,              , LA    ,          443
Gabite     ,              , LA    ,          444
Garchomp   ,              , LA    ,          445
Nosepass   ,              , LA    ,          299
Probopass  ,              , LA    ,          476
Voltorb    , Hisuian      , LA    ,          100
Electrode  , Hisuian      , LA    ,          101
Rotom      ,              , LA    ,          479
Rotom      , Heat         , LA    ,          479
Rotom      , Wash         , LA    ,          479
Rotom      , Frost        , LA    ,          479
Rotom      , Fan          , LA    ,          479
Rotom      , Mow          , LA    ,          479
Chingling  ,              , LA    ,          433
Chimecho   ,              , LA    ,          358
Misdreavus ,              , LA    ,          200
Mismagius  ,              , LA    ,          429
Cleffa     ,              , LA    ,          173
Clefairy   ,              , LA    ,           35
Clefable   ,              , LA    ,           36
Sneasel    ,              , LA    ,          215
Sneasel    , Hisuian      , LA    ,          215
Sneasler   ,              , LA    ,          903
Weavile    ,              , LA    ,          461
Snorunt    ,              , LA    ,          361
Glalie     ,              , LA    ,          362
Froslass   ,              , LA    ,          478
Cranidos   ,              , LA    ,          408
Rampardos  ,              , LA    ,          409
Shieldon   ,              , LA    ,          410
Bastiodon  ,              , LA    ,          411
Swinub     ,              , LA    ,          220
Piloswine  ,              , LA    ,          221
Mamoswine  ,              , LA    ,          473
Bergmite   ,              , LA    ,          712
Avalugg    , Hisuian      , LA    ,          713
Snover     ,              , LA    ,          459
Abomasnow  ,              , LA    ,          460
Zorua      , Hisuian      , LA    ,          570
Zoroark    , Hisuian      , LA    ,          571
Rufflet    ,              , LA    ,          627
Braviary   , Hisuian      , LA    ,          628
Riolu      ,              , LA    ,          447
Lucario    ,              , LA    ,          448
Uxie       ,              , LA    ,          480
Mesprit    ,              , LA    ,          481
Azelf      ,              , LA    ,          482
Heatran    ,              , LA    ,          485
Regigigas  ,              , LA    ,          486
Cresselia  ,              , LA    ,          488
Tornadus   ,              , LA    ,          641
Tornadus   , Therian Forme, LA    ,          641
Thundurus  ,              , LA    ,          642
Thundurus  , Therian Forme, LA    ,          642
Landorus   ,              , LA    ,          645
Landorus   , Therian Forme, LA    ,          645
Enamorus   ,              , LA    ,          905
Enamorus   , Therian Forme, LA    ,          905
Dialga     ,              , LA    ,          483
Dialga     , Origin Forme , LA    ,          483
Palkia     ,              , LA    ,          484
Palkia     , Origin Forme , LA    ,          484
Giratina   ,              , LA    ,          487
Giratina   , Origin Forme , LA    ,          487
Phione     ,              , LA    ,          489
Manaphy    ,              , LA    ,          490
Arceus     ,              , LA    ,          493
Shaymin    ,              , LA    ,          492
Shaymin    , Sky Forme    , LA    ,          492
Darkrai    ,              , LA    ,          491
