National_Dex,Pokemon,Dex
21,Spearow,"['Alola (SM)', 'Alola (USUM)', 'Johto (GSC)', 'Johto (HgSs)', 'Kalos', 'Kanto (Lets Go)', 'Kanto (RGBY and FrLg)']"
22,Fearow,"['Alola (SM)', 'Alola (USUM)', 'Johto (GSC)', 'Johto (HgSs)', 'Kalos', 'Kanto (Lets Go)', 'Kanto (RGBY and FrLg)']"
23,Ekans,"['Alola (USUM)', 'Johto (GSC)', 'Johto (HgSs)', 'Kalos', 'Kanto (Lets Go)', 'Kanto (RGBY and FrLg)', 'Kitakami', 'Lumiose']"
24,Arbok,"['Alola (USUM)', 'Johto (GSC)', 'Johto (HgSs)', 'Kalos', 'Kanto (Lets Go)', 'Kanto (RGBY and FrLg)', 'Kitakami', 'Lumiose']"
25,Pikachu,"['Alola (SM)', 'Alola (USUM)', 'DP', 'Galar', 'Hisui ', 'Hoenn (ORAS)', 'Hoenn (RSE)', 'Isle_of_Armor', 'Johto (GSC)', 'Johto (HgSs)', 'Kalos', 'Kanto (Lets Go)', 'Kanto (RGBY and FrLg)', 'Kitakami', 'Lumiose', 'Paldea', 'Sinnoh (BdSp)', 'Sinnoh (DP)', 'Sinnoh (Pt)']"
26,Raichu,"['Alola (SM)', 'Alola (USUM)', 'DP', 'Galar', 'Hisui ', 'Hoenn (ORAS)', 'Hoenn (RSE)', 'Isle_of_Armor', 'Johto (GSC)', 'Johto (HgSs)', 'Kalos', 'Kanto (Lets Go)', 'Kanto (RGBY and FrLg)', 'Kitakami', 'Lumiose', 'Paldea', 'Sinnoh (BdSp)', 'Sinnoh (DP)', 'Sinnoh (Pt)']"
27,Sandshrew,"['Alola (SM)', 'Alola (USUM)', 'Blueberry', 'Hoenn (ORAS)', 'Hoenn (RSE)', 'Isle_of_Armor', 'Johto (GSC)', 'Johto (HgSs)', 'Kalos', 'Kanto (Lets Go)', 'Kanto (RGBY and FrLg)', 'Kitakami', 'Unova (B2W2)']"
28,Sandslash,"['Alola (SM)', 'Alola (USUM)', 'Blueberry', 'Hoenn (ORAS)', 'Hoenn (RSE)', 'Isle_of_Armor', 'Johto (GSC)', 'Johto (HgSs)', 'Kalos', 'Kanto (Lets Go)', 'Kanto (RGBY and FrLg)', 'Kitakami', 'Unova (B2W2)']"
29,Nidoran♀,"['Crown_Tundra', 'Johto (GSC)', 'Johto (HgSs)', 'Kalos', 'Kanto (Lets Go)', 'Kanto (RGBY and FrLg)']"
30,Nidorina,"['Crown_Tundra', 'Johto (GSC)', 'Johto (HgSs)', 'Kalos', 'Kanto (Lets Go)', 'Kanto (RGBY and FrLg)']"
31,Nidoqueen,"['Crown_Tundra', 'Johto (GSC)', 'Johto (HgSs)', 'Kalos', 'Kanto (Lets Go)', 'Kanto (RGBY and FrLg)']"
32,Nidoran♂,"['Crown_Tundra', 'Johto (GSC)', 'Johto (HgSs)', 'Kalos', 'Kanto (Lets Go)', 'Kanto (RGBY and FrLg)']"
33,Nidorino,"['Crown_Tundra', 'Johto (GSC)', 'Johto (HgSs)', 'Kalos', 'Kanto (Lets Go)', 'Kanto (RGBY and FrLg)']"
34,Nidoking,"['Crown_Tundra', 'Johto (GSC)', 'Johto (HgSs)', 'Kalos', 'Kanto (Lets Go)', 'Kanto (RGBY and FrLg)']"
35,Clefairy,"['Alola (SM)', 'Alola (USUM)', 'Crown_Tundra', 'DP', 'Galar', 'Hisui ', 'Johto (GSC)', 'Johto (HgSs)', 'Kanto (Lets Go)', 'Kanto (RGBY and FrLg)', 'Kitakami', 'Lumiose', 'Sinnoh (BdSp)', 'Sinnoh (DP)', 'Sinnoh (Pt)', 'Unova (B2W2)']"
36,Clefable,"['Alola (SM)', 'Alola (USUM)', 'Crown_Tundra', 'DP', 'Galar', 'Hisui ', 'Johto (GSC)', 'Johto (HgSs)', 'Kanto (Lets Go)', 'Kanto (RGBY and FrLg)', 'Kitakami', 'Lumiose', 'Sinnoh (BdSp)', 'Sinnoh (DP)', 'Sinnoh (Pt)', 'Unova (B2W2)']"
37,Vulpix,"['Alola (SM)', 'Alola (USUM)', 'Blueberry', 'Galar', 'Hisui ', 'Hoenn (ORAS)', 'Hoenn (RSE)', 'Johto (GSC)', 'Johto (HgSs)', 'Kanto (Lets Go)', 'Kanto (RGBY and FrLg)', 'Kitakami', 'Unova (B2W2)']"
38,Ninetales,"['Alola (SM)', 'Alola (USUM)', 'Blueberry', 'Galar', 'Hisui ', 'Hoenn (ORAS)', 'Hoenn (RSE)', 'Johto (GSC)', 'Johto (HgSs)', 'Kanto (Lets Go)', 'Kanto (RGBY and FrLg)', 'Kitakami', 'Unova (B2W2)']"
39,Jigglypuff,"['Alola (SM)', 'Alola (USUM)', 'Hoenn (ORAS)', 'Hoenn (RSE)', 'Hyperspace', 'Isle_of_Armor', 'Johto (GSC)', 'Johto (HgSs)', 'Kalos', 'Kanto (Lets Go)', 'Kanto (RGBY and FrLg)', 'Paldea', 'Unova (B2W2)']"
40,Wigglytuff,"['Alola (SM)', 'Alola (USUM)', 'Hoenn (ORAS)', 'Hoenn (RSE)', 'Hyperspace', 'Isle_of_Armor', 'Johto (GSC)', 'Johto (HgSs)', 'Kalos', 'Kanto (Lets Go)', 'Kanto (RGBY and FrLg)', 'Paldea', 'Unova (B2W2)']"
41,Zubat,"['Alola (SM)', 'Alola (USUM)', 'Crown_Tundra', 'DP', 'Hisui ', 'Hoenn (ORAS)', 'Hoenn (RSE)', 'Hyperspace', 'Johto (GSC)', 'Johto (HgSs)', 'Kalos', 'Kanto (Lets Go)', 'Kanto (RGBY and FrLg)', 'Sinnoh (BdSp)', 'Sinnoh (DP)', 'Sinnoh (Pt)', 'Unova (B2W2)']"
42,Golbat,"['Alola (SM)', 'Alola (USUM)', 'Crown_Tundra', 'DP', 'Hisui ', 'Hoenn (ORAS)', 'Hoenn (RSE)', 'Hyperspace', 'Johto (GSC)', 'Johto (HgSs)', 'Kalos', 'Kanto (Lets Go)', 'Kanto (RGBY and FrLg)', 'Sinnoh (BdSp)', 'Sinnoh (DP)', 'Sinnoh (Pt)', 'Unova (B2W2)']"
43,Oddish,"['Blueberry', 'Galar', 'Hoenn (ORAS)', 'Hoenn (RSE)', 'Johto (GSC)', 'Johto (HgSs)', 'Kalos', 'Kanto (Lets Go)', 'Kanto (RGBY and FrLg)']"
44,Gloom,"['Blueberry', 'Galar', 'Hoenn (ORAS)', 'Hoenn (RSE)', 'Johto (GSC)', 'Johto (HgSs)', 'Kalos', 'Kanto (Lets Go)', 'Kanto (RGBY and FrLg)']"
45,Vileplume,"['Blueberry', 'Galar', 'Hoenn (ORAS)', 'Hoenn (RSE)', 'Johto (GSC)', 'Johto (HgSs)', 'Kalos', 'Kanto (Lets Go)', 'Kanto (RGBY and FrLg)']"
46,Paras,"['Alola (SM)', 'Alola (USUM)', 'Hisui ', 'Johto (GSC)', 'Johto (HgSs)', 'Kanto (Lets Go)', 'Kanto (RGBY and FrLg)']"
47,Parasect,"['Alola (SM)', 'Alola (USUM)', 'Hisui ', 'Johto (GSC)', 'Johto (HgSs)', 'Kanto (Lets Go)', 'Kanto (RGBY and FrLg)']"
48,Venonat,"['Blueberry', 'Johto (GSC)', 'Johto (HgSs)', 'Kanto (Lets Go)', 'Kanto (RGBY and FrLg)', 'Paldea']"
49,Venomoth,"['Blueberry', 'Johto (GSC)', 'Johto (HgSs)', 'Kanto (Lets Go)', 'Kanto (RGBY and FrLg)', 'Paldea']"
50,Diglett,"['Alola (SM)', 'Alola (USUM)', 'Blueberry', 'Galar', 'Johto (GSC)', 'Johto (HgSs)', 'Kalos', 'Kanto (Lets Go)', 'Kanto (RGBY and FrLg)', 'Paldea']"
51,Dugtrio,"['Alola (SM)', 'Alola (USUM)', 'Blueberry', 'Galar', 'Johto (GSC)', 'Johto (HgSs)', 'Kalos', 'Kanto (Lets Go)', 'Kanto (RGBY and FrLg)', 'Paldea']"
52,Meowth,"['Alola (SM)', 'Alola (USUM)', 'Galar', 'Hyperspace', 'Johto (GSC)', 'Johto (HgSs)', 'Kanto (Lets Go)', 'Kanto (RGBY and FrLg)', 'Paldea']"
53,Persian,"['Alola (SM)', 'Alola (USUM)', 'Galar', 'Hyperspace', 'Johto (GSC)', 'Johto (HgSs)', 'Kanto (Lets Go)', 'Kanto (RGBY and FrLg)', 'Paldea']"
54,Psyduck,"['Alola (SM)', 'Alola (USUM)', 'DP', 'Hisui ', 'Hoenn (ORAS)', 'Hoenn (RSE)', 'Isle_of_Armor', 'Johto (GSC)', 'Johto (HgSs)', 'Kalos', 'Kanto (Lets Go)', 'Kanto (RGBY and FrLg)', 'Paldea', 'Sinnoh (BdSp)', 'Sinnoh (DP)', 'Sinnoh (Pt)', 'Unova (B2W2)']"
55,Golduck,"['Alola (SM)', 'Alola (USUM)', 'DP', 'Hisui ', 'Hoenn (ORAS)', 'Hoenn (RSE)', 'Isle_of_Armor', 'Johto (GSC)', 'Johto (HgSs)', 'Kalos', 'Kanto (Lets Go)', 'Kanto (RGBY and FrLg)', 'Paldea', 'Sinnoh (BdSp)', 'Sinnoh (DP)', 'Sinnoh (Pt)', 'Unova (B2W2)']"
56,Mankey,"['Alola (SM)', 'Alola (USUM)', 'Hyperspace', 'Johto (GSC)', 'Johto (HgSs)', 'Kanto (Lets Go)', 'Kanto (RGBY and FrLg)', 'Kitakami', 'Paldea']"
57,Primeape,"['Alola (SM)', 'Alola (USUM)', 'Hyperspace', 'Johto (GSC)', 'Johto (HgSs)', 'Kanto (Lets Go)', 'Kanto (RGBY and FrLg)', 'Kitakami', 'Paldea']"
58,Growlithe,"['Alola (SM)', 'Alola (USUM)', 'Galar', 'Hisui ', 'Johto (GSC)', 'Johto (HgSs)', 'Kanto (Lets Go)', 'Kanto (RGBY and FrLg)', 'Kitakami', 'Paldea', 'Unova (B2W2)']"
59,Arcanine,"['Alola (SM)', 'Alola (USUM)', 'Galar', 'Hisui ', 'Johto (GSC)', 'Johto (HgSs)', 'Kanto (Lets Go)', 'Kanto (RGBY and FrLg)', 'Kitakami', 'Paldea', 'Unova (B2W2)']"
60,Poliwag,"['Alola (SM)', 'Alola (USUM)', 'Isle_of_Armor', 'Johto (GSC)', 'Johto (HgSs)', 'Kalos', 'Kanto (Lets Go)', 'Kanto (RGBY and FrLg)', 'Kitakami']"
61,Poliwhirl,"['Alola (SM)', 'Alola (USUM)', 'Isle_of_Armor', 'Johto (GSC)', 'Johto (HgSs)', 'Kalos', 'Kanto (Lets Go)', 'Kanto (RGBY and FrLg)', 'Kitakami']"
62,Poliwrath,"['Alola (SM)', 'Alola (USUM)', 'Isle_of_Armor', 'Johto (GSC)', 'Johto (HgSs)', 'Kalos', 'Kanto (Lets Go)', 'Kanto (RGBY and FrLg)', 'Kitakami']"
63,Abra,"['Alola (SM)', 'Alola (USUM)', 'DP', 'Hisui ', 'Hoenn (ORAS)', 'Hoenn (RSE)', 'Isle_of_Armor', 'Johto (GSC)', 'Johto (HgSs)', 'Kalos', 'Kanto (Lets Go)', 'Kanto (RGBY and FrLg)', 'Lumiose', 'Sinnoh (BdSp)', 'Sinnoh (DP)', 'Sinnoh (Pt)']"
64,Kadabra,"['Alola (SM)', 'Alola (USUM)', 'DP', 'Hisui ', 'Hoenn (ORAS)', 'Hoenn (RSE)', 'Isle_of_Armor', 'Johto (GSC)', 'Johto (HgSs)', 'Kalos', 'Kanto (Lets Go)', 'Kanto (RGBY and FrLg)', 'Lumiose', 'Sinnoh (BdSp)', 'Sinnoh (DP)', 'Sinnoh (Pt)']"
65,Alakazam,"['Alola (SM)', 'Alola (USUM)', 'DP', 'Hisui ', 'Hoenn (ORAS)', 'Hoenn (RSE)', 'Isle_of_Armor', 'Johto (GSC)', 'Johto (HgSs)', 'Kalos', 'Kanto (Lets Go)', 'Kanto (RGBY and FrLg)', 'Lumiose', 'Sinnoh (BdSp)', 'Sinnoh (DP)', 'Sinnoh (Pt)']"
66,Machop,"['Alola (SM)', 'Alola (USUM)', 'DP', 'Galar', 'Hisui ', 'Hoenn (ORAS)', 'Hoenn (RSE)', 'Johto (GSC)', 'Johto (HgSs)', 'Kalos', 'Kanto (Lets Go)', 'Kanto (RGBY and FrLg)', 'Lumiose', 'Sinnoh (BdSp)', 'Sinnoh (DP)', 'Sinnoh (Pt)']"
67,Machoke,"['Alola (SM)', 'Alola (USUM)', 'DP', 'Galar', 'Hisui ', 'Hoenn (ORAS)', 'Hoenn (RSE)', 'Johto (GSC)', 'Johto (HgSs)', 'Kalos', 'Kanto (Lets Go)', 'Kanto (RGBY and FrLg)', 'Lumiose', 'Sinnoh (BdSp)', 'Sinnoh (DP)', 'Sinnoh (Pt)']"
68,Machamp,"['Alola (SM)', 'Alola (USUM)', 'DP', 'Galar', 'Hisui ', 'Hoenn (ORAS)', 'Hoenn (RSE)', 'Johto (GSC)', 'Johto (HgSs)', 'Kalos', 'Kanto (Lets Go)', 'Kanto (RGBY and FrLg)', 'Lumiose', 'Sinnoh (BdSp)', 'Sinnoh (DP)', 'Sinnoh (Pt)']"
69,Bellsprout,"['Johto (GSC)', 'Johto (HgSs)', 'Kalos', 'Kanto (Lets Go)', 'Kanto (RGBY and FrLg)', 'Kitakami', 'Lumiose']"
70,Weepinbell,"['Johto (GSC)', 'Johto (HgSs)', 'Kalos', 'Kanto (Lets Go)', 'Kanto (RGBY and FrLg)', 'Kitakami', 'Lumiose']"
71,Victreebel,"['Johto (GSC)', 'Johto (HgSs)', 'Kalos', 'Kanto (Lets Go)', 'Kanto (RGBY and FrLg)', 'Kitakami', 'Lumiose']"
72,Tentacool,"['Alola (SM)', 'Alola (USUM)', 'Blueberry', 'DP', 'Hisui ', 'Hoenn (ORAS)', 'Hoenn (RSE)', 'Isle_of_Armor', 'Johto (GSC)', 'Johto (HgSs)', 'Kalos', 'Kanto (Lets Go)', 'Kanto (RGBY and FrLg)', 'Sinnoh (BdSp)', 'Sinnoh (DP)', 'Sinnoh (Pt)']"
73,Tentacruel,"['Alola (SM)', 'Alola (USUM)', 'Blueberry', 'DP', 'Hisui ', 'Hoenn (ORAS)', 'Hoenn (RSE)', 'Isle_of_Armor', 'Johto (GSC)', 'Johto (HgSs)', 'Kalos', 'Kanto (Lets Go)', 'Kanto (RGBY and FrLg)', 'Sinnoh (BdSp)', 'Sinnoh (DP)', 'Sinnoh (Pt)']"
74,Geodude,"['Alola (SM)', 'Alola (USUM)', 'Blueberry', 'DP', 'Hisui ', 'Hoenn (ORAS)', 'Hoenn (RSE)', 'Johto (GSC)', 'Johto (HgSs)', 'Kalos', 'Kanto (Lets Go)', 'Kanto (RGBY and FrLg)', 'Kitakami', 'Sinnoh (BdSp)', 'Sinnoh (DP)', 'Sinnoh (Pt)']"
75,Graveler,"['Alola (SM)', 'Alola (USUM)', 'Blueberry', 'DP', 'Hisui ', 'Hoenn (ORAS)', 'Hoenn (RSE)', 'Johto (GSC)', 'Johto (HgSs)', 'Kalos', 'Kanto (Lets Go)', 'Kanto (RGBY and FrLg)', 'Kitakami', 'Sinnoh (BdSp)', 'Sinnoh (DP)', 'Sinnoh (Pt)']"
76,Golem,"['Alola (SM)', 'Alola (USUM)', 'Blueberry', 'DP', 'Hisui ', 'Hoenn (ORAS)', 'Hoenn (RSE)', 'Johto (GSC)', 'Johto (HgSs)', 'Kalos', 'Kanto (Lets Go)', 'Kanto (RGBY and FrLg)', 'Kitakami', 'Sinnoh (BdSp)', 'Sinnoh (DP)', 'Sinnoh (Pt)']"
77,Ponyta,"['Crown_Tundra', 'DP', 'Galar', 'Hisui ', 'Johto (GSC)', 'Johto (HgSs)', 'Kanto (Lets Go)', 'Kanto (RGBY and FrLg)', 'Sinnoh (BdSp)', 'Sinnoh (DP)', 'Sinnoh (Pt)']"
78,Rapidash,"['Crown_Tundra', 'DP', 'Galar', 'Hisui ', 'Johto (GSC)', 'Johto (HgSs)', 'Kanto (Lets Go)', 'Kanto (RGBY and FrLg)', 'Sinnoh (BdSp)', 'Sinnoh (DP)', 'Sinnoh (Pt)']"
79,Slowpoke,"['Alola (SM)', 'Alola (USUM)', 'Blueberry', 'Isle_of_Armor', 'Johto (GSC)', 'Johto (HgSs)', 'Kalos', 'Kanto (Lets Go)', 'Kanto (RGBY and FrLg)', 'Lumiose', 'Paldea']"
80,Slowbro,"['Alola (SM)', 'Alola (USUM)', 'Blueberry', 'Isle_of_Armor', 'Johto (GSC)', 'Johto (HgSs)', 'Kalos', 'Kanto (Lets Go)', 'Kanto (RGBY and FrLg)', 'Lumiose', 'Paldea']"
81,Magnemite,"['Alola (SM)', 'Alola (USUM)', 'Blueberry', 'Hisui ', 'Hoenn (ORAS)', 'Hoenn (RSE)', 'Isle_of_Armor', 'Johto (GSC)', 'Johto (HgSs)', 'Kalos', 'Kanto (Lets Go)', 'Kanto (RGBY and FrLg)', 'Paldea', 'Sinnoh (Pt)', 'Unova (B2W2)']"
82,Magneton,"['Alola (SM)', 'Alola (USUM)', 'Blueberry', 'Hisui ', 'Hoenn (ORAS)', 'Hoenn (RSE)', 'Isle_of_Armor', 'Johto (GSC)', 'Johto (HgSs)', 'Kalos', 'Kanto (Lets Go)', 'Kanto (RGBY and FrLg)', 'Paldea', 'Sinnoh (Pt)', 'Unova (B2W2)']"
83,Farfetch'd,"['Galar', 'Hyperspace', 'Johto (GSC)', 'Johto (HgSs)', 'Kalos', 'Kanto (Lets Go)', 'Kanto (RGBY and FrLg)']"
84,Doduo,"['Blueberry', 'Hoenn (ORAS)', 'Hoenn (RSE)', 'Johto (GSC)', 'Johto (HgSs)', 'Kalos', 'Kanto (Lets Go)', 'Kanto (RGBY and FrLg)']"
85,Dodrio,"['Blueberry', 'Hoenn (ORAS)', 'Hoenn (RSE)', 'Johto (GSC)', 'Johto (HgSs)', 'Kalos', 'Kanto (Lets Go)', 'Kanto (RGBY and FrLg)']"
86,Seel,"['Alola (USUM)', 'Blueberry', 'Johto (GSC)', 'Johto (HgSs)', 'Kanto (Lets Go)', 'Kanto (RGBY and FrLg)', 'Unova (B2W2)']"
87,Dewgong,"['Alola (USUM)', 'Blueberry', 'Johto (GSC)', 'Johto (HgSs)', 'Kanto (Lets Go)', 'Kanto (RGBY and FrLg)', 'Unova (B2W2)']"
88,Grimer,"['Alola (SM)', 'Alola (USUM)', 'Blueberry', 'Hoenn (ORAS)', 'Hoenn (RSE)', 'Johto (GSC)', 'Johto (HgSs)', 'Kanto (Lets Go)', 'Kanto (RGBY and FrLg)', 'Paldea', 'Unova (B2W2)']"
89,Muk,"['Alola (SM)', 'Alola (USUM)', 'Blueberry', 'Hoenn (ORAS)', 'Hoenn (RSE)', 'Johto (GSC)', 'Johto (HgSs)', 'Kanto (Lets Go)', 'Kanto (RGBY and FrLg)', 'Paldea', 'Unova (B2W2)']"
90,Shellder,"['Alola (SM)', 'Alola (USUM)', 'Galar', 'Isle_of_Armor', 'Johto (GSC)', 'Johto (HgSs)', 'Kalos', 'Kanto (Lets Go)', 'Kanto (RGBY and FrLg)', 'Paldea']"
91,Cloyster,"['Alola (SM)', 'Alola (USUM)', 'Galar', 'Isle_of_Armor', 'Johto (GSC)', 'Johto (HgSs)', 'Kalos', 'Kanto (Lets Go)', 'Kanto (RGBY and FrLg)', 'Paldea']"
92,Gastly,"['Alola (SM)', 'Alola (USUM)', 'DP', 'Galar', 'Hisui ', 'Johto (GSC)', 'Johto (HgSs)', 'Kalos', 'Kanto (Lets Go)', 'Kanto (RGBY and FrLg)', 'Kitakami', 'Lumiose', 'Paldea', 'Sinnoh (BdSp)', 'Sinnoh (DP)', 'Sinnoh (Pt)']"
93,Haunter,"['Alola (SM)', 'Alola (USUM)', 'DP', 'Galar', 'Hisui ', 'Johto (GSC)', 'Johto (HgSs)', 'Kalos', 'Kanto (Lets Go)', 'Kanto (RGBY and FrLg)', 'Kitakami', 'Lumiose', 'Paldea', 'Sinnoh (BdSp)', 'Sinnoh (DP)', 'Sinnoh (Pt)']"
94,Gengar,"['Alola (SM)', 'Alola (USUM)', 'DP', 'Galar', 'Hisui ', 'Johto (GSC)', 'Johto (HgSs)', 'Kalos', 'Kanto (Lets Go)', 'Kanto (RGBY and FrLg)', 'Kitakami', 'Lumiose', 'Paldea', 'Sinnoh (BdSp)', 'Sinnoh (DP)', 'Sinnoh (Pt)']"
95,Onix,"['DP', 'Galar', 'Hisui ', 'Johto (GSC)', 'Johto (HgSs)', 'Kalos', 'Kanto (Lets Go)', 'Kanto (RGBY and FrLg)', 'Lumiose', 'Sinnoh (BdSp)', 'Sinnoh (DP)', 'Sinnoh (Pt)', 'Unova (B2W2)']"
96,Drowzee,"['Alola (SM)', 'Alola (USUM)', 'Johto (GSC)', 'Johto (HgSs)', 'Kanto (Lets Go)', 'Kanto (RGBY and FrLg)', 'Paldea']"
97,Hypno,"['Alola (SM)', 'Alola (USUM)', 'Johto (GSC)', 'Johto (HgSs)', 'Kanto (Lets Go)', 'Kanto (RGBY and FrLg)', 'Paldea']"
98,Krabby,"['Galar', 'Isle_of_Armor', 'Johto (GSC)', 'Johto (HgSs)', 'Kanto (Lets Go)', 'Kanto (RGBY and FrLg)']"
99,Kingler,"['Galar', 'Isle_of_Armor', 'Johto (GSC)', 'Johto (HgSs)', 'Kanto (Lets Go)', 'Kanto (RGBY and FrLg)']"
100,Voltorb,"['Hisui ', 'Hoenn (ORAS)', 'Hoenn (RSE)', 'Johto (GSC)', 'Johto (HgSs)', 'Kalos', 'Kanto (Lets Go)', 'Kanto (RGBY and FrLg)', 'Paldea']"
101,Electrode,"['Hisui ', 'Hoenn (ORAS)', 'Hoenn (RSE)', 'Johto (GSC)', 'Johto (HgSs)', 'Kalos', 'Kanto (Lets Go)', 'Kanto (RGBY and FrLg)', 'Paldea']"
102,Exeggcute,"['Alola (SM)', 'Alola (USUM)', 'Blueberry', 'Isle_of_Armor', 'Johto (GSC)', 'Johto (HgSs)', 'Kalos', 'Kanto (Lets Go)', 'Kanto (RGBY and FrLg)']"
103,Exeggutor,"['Alola (SM)', 'Alola (USUM)', 'Blueberry', 'Isle_of_Armor', 'Johto (GSC)', 'Johto (HgSs)', 'Kalos', 'Kanto (Lets Go)', 'Kanto (RGBY and FrLg)']"
104,Cubone,"['Alola (SM)', 'Alola (USUM)', 'Hyperspace', 'Isle_of_Armor', 'Johto (GSC)', 'Johto (HgSs)', 'Kalos', 'Kanto (Lets Go)', 'Kanto (RGBY and FrLg)']"
105,Marowak,"['Alola (SM)', 'Alola (USUM)', 'Hyperspace', 'Isle_of_Armor', 'Johto (GSC)', 'Johto (HgSs)', 'Kalos', 'Kanto (Lets Go)', 'Kanto (RGBY and FrLg)']"
106,Hitmonlee,"['Blueberry', 'Galar', 'Johto (GSC)', 'Johto (HgSs)', 'Kanto (Lets Go)', 'Kanto (RGBY and FrLg)']"
107,Hitmonchan,"['Blueberry', 'Galar', 'Johto (GSC)', 'Johto (HgSs)', 'Kanto (Lets Go)', 'Kanto (RGBY and FrLg)']"
108,Lickitung,"['Alola (USUM)', 'Hisui ', 'Isle_of_Armor', 'Johto (GSC)', 'Johto (HgSs)', 'Kalos', 'Kanto (Lets Go)', 'Kanto (RGBY and FrLg)', 'Sinnoh (Pt)', 'Unova (B2W2)']"
109,Koffing,"['Galar', 'Hoenn (ORAS)', 'Hoenn (RSE)', 'Johto (GSC)', 'Johto (HgSs)', 'Kanto (Lets Go)', 'Kanto (RGBY and FrLg)', 'Kitakami', 'Unova (B2W2)']"
110,Weezing,"['Galar', 'Hoenn (ORAS)', 'Hoenn (RSE)', 'Johto (GSC)', 'Johto (HgSs)', 'Kanto (Lets Go)', 'Kanto (RGBY and FrLg)', 'Kitakami', 'Unova (B2W2)']"
111,Rhyhorn,"['Blueberry', 'Galar', 'Hisui ', 'Hoenn (ORAS)', 'Hoenn (RSE)', 'Isle_of_Armor', 'Johto (GSC)', 'Johto (HgSs)', 'Kalos', 'Kanto (Lets Go)', 'Kanto (RGBY and FrLg)', 'Sinnoh (Pt)']"
