Regional Dex #,National Dex #,Pokemon,Type 1,Type 2,Games
082,0082,Magneton,Electric,Steel,Generation 1
083,0083,Farfetch'd,Normal,Flying,Generation 1
084,0084,Doduo,Normal,Flying,Generation 1
085,0085,Dodrio,Normal,Flying,Generation 1
086,0086,Seel,Water,None,Generation 1
087,0087,Dewgong,Water,Ice,Generation 1
088,0088,Grimer,Poison,None,Generation 1
089,0089,Muk,Poison,None,Generation 1
090,0090,Shellder,Water,None,Generation 1
091,0091,Cloyster,Water,Ice,Generation 1
092,0092,Gastly,Ghost,Poison,Generation 1
093,0093,Haunter,Ghost,Poison,Generation 1
094,0094,Gengar,Ghost,Poison,Generation 1
095,0095,Onix,Rock,Ground,Generation 1
096,0096,Drowzee,Psychic,None,Generation 1
097,0097,Hypno,Psychic,None,Generation 1
098,0098,Krabby,Water,None,Generation 1
099,0099,Kingler,Water,None,Generation 1
100,0100,Voltorb,Electric,None,Generation 1
101,0101,Electrode,Electric,None,Generation 1
102,0102,Exeggcute,Grass,Psychic,Generation 1
103,0103,Exeggutor,Grass,Psychic,Generation 1
104,0104,Cubone,Ground,None,Generation 1
105,0105,Marowak,Ground,None,Generation 1
106,0106,Hitmonlee,Fighting,None,Generation 1
107,0107,Hitmonchan,Fighting,None,Generation 1
108,0108,Lickitung,Normal,None,Generation 1
109,0109,Koffing,Poison,None,Generation 1
110,0110,Weezing,Poison,None,Generation 1
111,0111,Rhyhorn,Ground,Rock,Generation 1
112,0112,Rhydon,Ground,Rock,Generation 1
113,0113,Chansey,Normal,None,Generation 1
114,0114,Tangela,Grass,None,Generation 1
115,0115,Kangaskhan,Normal,None,Generation 1
116,0116,Horsea,Water,None,Generation 1
117,0117,Seadra,Water,None,Generation 1
118,0118,Goldeen,Water,None,Generation 1
119,0119,Seaking,Water,None,Generation 1
120,0120,Staryu,Water,None,Generation 1
121,0121,Starmie,Water,Psychic,Generation 1
122,0122,Mr. Mime,Psychic,Fairy,Generation 1
123,0123,Scyther,Bug,Flying,Generation 1
124,0124,Jynx,Ice,Psychic,Generation 1
125,0125,Electabuzz,Electric,None,Generation 1
126,0126,Magmar,Fire,None,Generation 1
127,0127,Pinsir,Bug,None,Generation 1
128,0128,Tauros,Normal,None,Generation 1
129,0129,Magikarp,Water,None,Generation 1
130,0130,Gyarados,Water,Flying,Generation 1
131,0131,Lapras,Water,Ice,Generation 1
132,0132,Ditto,Normal,None,Generation 1
133,0133,Eevee,Normal,None,Generation 1
134,0134,Vaporeon,Water,None,Generation 1
135,0135,Jolteon,Electric,None,Generation 1
136,0136,Flareon,Fire,None,Generation 1
137,0137,Porygon,Normal,None,Generation 1
138,0138,Omanyte,Rock,Water,Generation 1
139,0139,Omastar,Rock,Water,Generation 1
140,0140,Kabuto,Rock,Water,Generation 1
141,0141,Kabutops,Rock,Water,Generation 1
142,0142,Aerodactyl,Rock,Flying,Generation 1
143,0143,Snorlax,Normal,None,Generation 1
144,0144,Articuno,Ice,Flying,Generation 1
145,0145,Zapdos,Electric,Flying,Generation 1
146,0146,Moltres,Fire,Flying,Generation 1
147,0147,Dratini,Dragon,None,Generation 1
148,0148,Dragonair,Dragon,None,Generation 1
149,0149,Dragonite,Dragon,Flying,Generation 1
150,0150,Mewtwo,Psychic,None,Generation 1
151,0151,Mew,Psychic,None,Generation 1
