National_Dex,Pokemon,Series
383,Groudon,SM
385,Jirachi,SM
396,Starly,SM
397,Staravia,SM
398,Staraptor,SM
403,Shinx,SM
404,Luxio,SM
405,Luxray,SM
406,Budew,SM
407,Roserade,SM
408,Cranidos,SM
409,Rampardos,SM
410,Shieldon,SM
411,Bastiodon,SM
422,Shellos,SM
423,Gastrodon,SM
425,Drifloon,SM
426,Drifblim,SM
429,Mismagius,SM
430,Honchkrow,SM
438,Bonsly,SM
440,Happiny,SM
443,Gible,SM
444,Gabite,SM
445,Garchomp,SM
446,Munchlax,SM
447,Riolu,SM
448,Lucario,SM
456,Finneon,SM
457,Lumineon,SM
461,Weavile,SM
462,Magnezone,SM
464,Rhyperior,SM
466,Electivire,SM
467,Magmortar,SM
468,Togekiss,SM
470,Leafeon,SM
471,Glaceon,SM
473,Mamoswine,SM
474,Porygon-Z,SM
476,Probopass,SM
478,Froslass,SM
483,Dialga,SM
484,Palkia,SM
485,Heatran,SM
486,Regigigas,SM
489,Phione,SM
490,Manaphy,SM
491,Darkrai,SM
492,Shaymin,SM
494,Victini,SM
495,Snivy,SM
496,Servine,SM
497,Serperior,SM
498,Tepig,SM
499,Pignite,SM
500,Emboar,SM
501,Oshawott,SM
502,Dewott,SM
503,Samurott,SM
506,Lillipup,SM
507,Herdier,SM
508,Stoutland,SM
524,Roggenrola,SM
525,Boldore,SM
526,Gigalith,SM
532,Timburr,SM
533,Gurdurr,SM
534,Conkeldurr,SM
540,Sewaddle,SM
541,Swadloon,SM
542,Leavanny,SM
543,Venipede,SM
544,Whirlipede,SM
545,Scolipede,SM
546,Cottonee,SM
547,Whimsicott,SM
548,Petilil,SM
549,Lilligant,SM
551,Sandile,SM
552,Krokorok,SM
553,Krookodile,SM
564,Tirtouga,SM
565,Carracosta,SM
566,Archen,SM
567,Archeops,SM
568,Trubbish,SM
569,Garbodor,SM
574,Gothita,SM
575,Gothorita,SM
576,Gothitelle,SM
577,Solosis,SM
578,Duosion,SM
579,Reuniclus,SM
582,Vanillite,SM
583,Vanillish,SM
584,Vanilluxe,SM
587,Emolga,SM
594,Alomomola,SM
599,Klink,SM
600,Klang,SM
601,Klinklang,SM
602,Tynamo,SM
603,Eelektrik,SM
604,Eelektross,SM
607,Litwick,SM
608,Lampent,SM
609,Chandelure,SM
610,Axew,SM
611,Fraxure,SM
612,Haxorus,SM
627,Rufflet,SM
628,Braviary,SM
629,Vullaby,SM
630,Mandibuzz,SM
633,Deino,SM
634,Zweilous,SM
635,Hydreigon,SM
641,Tornadus,SM
642,Thundurus,SM
643,Reshiram,SM
644,Zekrom,SM
648,Meloetta,SM
661,Fletchling,SM
662,Fletchinder,SM
663,Talonflame,SM
674,Pancham,SM
675,Pangoro,SM
679,Honedge,SM
680,Doublade,SM
681,Aegislash,SM
700,Sylveon,SM
703,Carbink,SM
704,Goomy,SM
705,Sliggoo,SM
706,Goodra,SM
707,Klefki,SM
708,Phantump,SM
709,Trevenant,SM
716,Xerneas,SM
717,Yveltal,SM
718,Zygarde,SM
720,Hoopa,SM
722,Rowlet,SM
723,Dartrix,SM
724,Decidueye,SM
725,Litten,SM
726,Torracat,SM
727,Incineroar,SM
728,Popplio,SM
729,Brionne,SM
730,Primarina,SM
731,Pikipek,SM
732,Trumbeak,SM
733,Toucannon,SM
734,Yungoos,SM
735,Gumshoos,SM
736,Grubbin,SM
737,Charjabug,SM
738,Vikavolt,SM
739,Crabrawler,SM
740,Crabominable,SM
741,Oricorio,SM
742,Cutiefly,SM
743,Ribombee,SM
744,Rockruff,SM
745,Lycanroc,SM
746,Wishiwashi,SM
747,Mareanie,SM
748,Toxapex,SM
749,Mudbray,SM
750,Mudsdale,SM
751,Dewpider,SM
752,Araquanid,SM
753,Fomantis,SM
754,Lurantis,SM
755,Morelull,SM
756,Shiinotic,SM
757,Salandit,SM
758,Salazzle,SM
759,Stufful,SM
760,Bewear,SM
761,Bounsweet,SM
762,Steenee,SM
763,Tsareena,SM
764,Comfey,SM
765,Oranguru,SM
766,Passimian,SM
767,Wimpod,SM
768,Golisopod,SM
769,Sandygast,SM
770,Palossand,SM
771,Pyukumuku,SM
772,Type: Null,SM
773,Silvally,SM
774,Minior,SM
775,Komala,SM
776,Turtonator,SM
777,Togedemaru,SM
778,Mimikyu,SM
779,Bruxish,SM
780,Drampa,SM
781,Dhelmise,SM
782,Jangmo-o,SM
783,Hakamo-o,SM
784,Kommo-o,SM
785,Tapu Koko,SM
786,Tapu Lele,SM
787,Tapu Bulu,SM
788,Tapu Fini,SM
789,Cosmog,SM
790,Cosmoem,SM
791,Solgaleo,SM
792,Lunala,SM
793,Nihilego,SM
794,Buzzwole,SM
795,Pheromosa,SM
796,Xurkitree,SM
797,Celesteela,SM
798,Kartana,SM
799,Guzzlord,SM
800,Necrozma,SM
801,Magearna,SM
802,Marshadow,SM
