National_Dex, Pokemon   , Form   , Obtainability, Series
No.100      , Voltorb   ,        , True         , FrLg
No.101      , Electrode ,        , True         , FrLg
No.102      , Exeggcute ,        , True         , FrLg
No.103      , Exeggutor ,        , True         , FrLg
No.104      , Cubone    ,        , True         , FrLg
No.105      , Marowak   ,        , True         , FrLg
No.106      , Hitmonlee ,        , True         , FrLg
No.107      , Hitmonchan,        , True         , FrLg
No.108      , Lickitung ,        , True         , FrLg
No.109      , Koffing   ,        , True         , FrLg
No.110      , Weezing   ,        , True         , FrLg
No.111      , Rhyhorn   ,        , True         , FrLg
No.112      , Rhydon    ,        , True         , FrLg
No.113      , Chansey   ,        , True         , FrLg
No.114      , Tangela   ,        , True         , FrLg
No.115      , Kangaskhan,        , True         , FrLg
No.116      , Horsea    ,        , True         , FrLg
No.117      , Seadra    ,        , True         , FrLg
No.118      , Goldeen   ,        , True         , FrLg
No.119      , Seaking   ,        , True         , FrLg
No.120      , Staryu    ,        , True         , FrLg
No.121      , Starmie   ,        , True         , FrLg
No.122      , Mr. Mime  ,        , True         , FrLg
No.123      , Scyther   ,        , True         , FrLg
No.124      , Jynx      ,        , True         , FrLg
No.125      , Electabuzz,        , True         , FrLg
No.126      , Magmar    ,        , True         , FrLg
No.127      , Pinsir    ,        , True         , FrLg
No.128      , Tauros    ,        , True         , FrLg
No.129      , Magikarp  ,        , True         , FrLg
No.130      , Gyarados  ,        , True         , FrLg
No.131      , Lapras    ,        , True         , FrLg
No.132      , Ditto     ,        , True         , FrLg
No.133      , Eevee     ,        , True         , FrLg
No.134      , Vaporeon  ,        , True         , FrLg
No.135      , Jolteon   ,        , True         , FrLg
No.136      , Flareon   ,        , True         , FrLg
No.137      , Porygon   ,        , True         , FrLg
No.138      , Omanyte   ,        , True         , FrLg
No.139      , Omastar   ,        , True         , FrLg
No.140      , Kabuto    ,        , True         , FrLg
No.141      , Kabutops  ,        , True         , FrLg
No.142      , Aerodactyl,        , True         , FrLg
No.143      , Snorlax   ,        , True         , FrLg
No.144      , Articuno  ,        , True         , FrLg
No.145      , Zapdos    ,        , True         , FrLg
No.146      , Moltres   ,        , True         , FrLg
No.147      , Dratini   ,        , True         , FrLg
No.148      , Dragonair ,        , True         , FrLg
No.149      , Dragonite ,        , True         , FrLg
No.150      , Mewtwo    ,        , True         , FrLg
No.161      , Sentret   ,        , True         , FrLg
No.162      , Furret    ,        , True         , FrLg
No.165      , Ledyba    ,        , True         , FrLg
No.166      , Ledian    ,        , True         , FrLg
No.167      , Spinarak  ,        , True         , FrLg
No.168      , Ariados   ,        , True         , FrLg
No.169      , Crobat    ,        , True         , FrLg
No.172      , Pichu     ,        , True         , FrLg
No.173      , Cleffa    ,        , True         , FrLg
No.174      , Igglybuff ,        , True         , FrLg
No.175      , Togepi    ,        , True         , FrLg
No.176      , Togetic   ,        , True         , FrLg
No.177      , Natu      ,        , True         , FrLg
No.178      , Xatu      ,        , True         , FrLg
No.182      , Bellossom ,        , True         , FrLg
No.183      , Marill    ,        , True         , FrLg
No.184      , Azumarill ,        , True         , FrLg
No.186      , Politoed  ,        , True         , FrLg
No.187      , Hoppip    ,        , True         , FrLg
No.188      , Skiploom  ,        , True         , FrLg
No.189      , Jumpluff  ,        , True         , FrLg
No.193      , Yanma     ,        , True         , FrLg
No.194      , Wooper    ,        , True         , FrLg
No.195      , Quagsire  ,        , True         , FrLg
No.198      , Murkrow   ,        , True         , FrLg
No.199      , Slowking  ,        , True         , FrLg
No.200      , Misdreavus,        , True         , FrLg
No.201      , Unown     ,        , True         , FrLg
No.202      , Wobbuffet ,        , True         , FrLg
No.206      , Dunsparce ,        , True         , FrLg
No.208      , Steelix   ,        , True         , FrLg
No.211      , Qwilfish  ,        , True         , FrLg
No.212      , Scizor    ,        , True         , FrLg
No.214      , Heracross ,        , True         , FrLg
No.215      , Sneasel   ,        , True         , FrLg
No.218      , Slugma    ,        , True         , FrLg
No.219      , Magcargo  ,        , True         , FrLg
No.220      , Swinub    ,        , True         , FrLg
No.221      , Piloswine ,        , True         , FrLg
No.223      , Remoraid  ,        , True         , FrLg
No.224      , Octillery ,        , True         , FrLg
No.225      , Delibird  ,        , True         , FrLg
No.226      , Mantine   ,        , True         , FrLg
No.227      , Skarmory  ,        , True         , FrLg
No.230      , Kingdra   ,        , True         , FrLg
No.231      , Phanpy    ,        , True         , FrLg
No.232      , Donphan   ,        , True         , FrLg
No.233      , Porygon2  ,        , True         , FrLg
No.236      , Tyrogue   ,        , True         , FrLg
No.237      , Hitmontop ,        , True         , FrLg
No.238      , Smoochum  ,        , True         , FrLg
No.239      , Elekid    ,        , True         , FrLg
No.240      , Magby     ,        , True         , FrLg
No.242      , Blissey   ,        , True         , FrLg
No.243      , Raikou    ,        , True         , FrLg
No.244      , Entei     ,        , True         , FrLg
No.245      , Suicune   ,        , True         , FrLg
No.246      , Larvitar  ,        , True         , FrLg
No.247      , Pupitar   ,        , True         , FrLg
No.248      , Tyranitar ,        , True         , FrLg
No.249      , Lugia     ,        , True         , FrLg
No.250      , Ho-Oh     ,        , True         , FrLg
No.298      , Azurill   ,        , True         , FrLg
No.360      , Wynaut    ,        , True         , FrLg
No.386      , Deoxys    , Attack , True         , FrLg
No.386      , Deoxys    , Defense, True         , FrLg
