National_Dex,Pokemon,Form,RGBY,FrLg,GSC,RSE,DPPt,HgSs,BW,B2W2,XY,OrAs,SM,UsUm,PE,SwSh,BdSp,LA,SV,ZA
11,Metapod,,"['Red', 'Green', 'Blue', 'Yellow']","['Fire Red', 'Leaf Green']","['Gold', 'Silver', 'Crystal']",[],"['Diamond', 'Pearl', 'Platinum']","['Heart Gold', 'Soul Silver']",['White'],['White 2'],"['X', 'Y']",[],"['Sun', 'Moon']",[],"['Lets Go Pikachu', 'Lets Go Eevee']","['Sword', 'Shield']",['Brilliant Diamond'],[],[],[]
12,Butterfree,,"['Red', 'Green', 'Blue', 'Yellow']","['Fire Red', 'Leaf Green']","['Gold', 'Silver', 'Crystal']",[],"['Diamond', 'Pearl', 'Platinum']","['Heart Gold', 'Soul Silver']",['White'],['White 2'],"['X', 'Y']",[],"['Sun', 'Moon']",[],"['Lets Go Pikachu', 'Lets Go Eevee']","['Sword', 'Shield']",['Brilliant Diamond'],[],[],[]
13,Weedle,,"['Red', 'Green', 'Blue']","['Fire Red', 'Leaf Green']","['Gold', 'Silver', 'Crystal']",[],"['Diamond', 'Pearl', 'Platinum']","['Heart Gold', 'Soul Silver']",['Black'],['Black 2'],"['X', 'Y']","['Omega Ruby', 'Alpha Sapphire']",[],[],"['Lets Go Pikachu', 'Lets Go Eevee']",[],['Shining Pearl'],[],[],['Legends ZA']
14,Kakuna,,"['Red', 'Green', 'Blue']","['Fire Red', 'Leaf Green']","['Gold', 'Silver', 'Crystal']",[],"['Diamond', 'Pearl', 'Platinum']","['Heart Gold', 'Soul Silver']",['Black'],['Black 2'],"['X', 'Y']","['Omega Ruby', 'Alpha Sapphire']",[],[],"['Lets Go Pikachu', 'Lets Go Eevee']",[],['Shining Pearl'],[],[],['Legends ZA']
15,Beedrill,,"['Red', 'Green', 'Blue']","['Fire Red', 'Leaf Green']","['Gold', 'Silver', 'Crystal']",[],"['Diamond', 'Pearl', 'Platinum']","['Heart Gold', 'Soul Silver']",['Black'],['Black 2'],"['X', 'Y']","['Omega Ruby', 'Alpha Sapphire']",[],[],"['Lets Go Pikachu', 'Lets Go Eevee']",[],['Shining Pearl'],[],[],['Legends ZA']
16,Pidgey,,"['Red', 'Green', 'Blue', 'Yellow']","['Fire Red', 'Leaf Green']","['Gold', 'Silver', 'Crystal']",[],"['Diamond', 'Pearl', 'Platinum']","['Heart Gold', 'Soul Silver']",['White'],[],"['X', 'Y']","['Omega Ruby', 'Alpha Sapphire']",[],[],"['Lets Go Pikachu', 'Lets Go Eevee']",[],"['Brilliant Diamond', 'Shining Pearl']",[],[],['Legends ZA']
17,Pidgeotto,,"['Red', 'Green', 'Blue', 'Yellow']","['Fire Red', 'Leaf Green']","['Gold', 'Silver', 'Crystal']",[],"['Diamond', 'Pearl', 'Platinum']","['Heart Gold', 'Soul Silver']",['White'],[],"['X', 'Y']","['Omega Ruby', 'Alpha Sapphire']",[],[],"['Lets Go Pikachu', 'Lets Go Eevee']",[],"['Brilliant Diamond', 'Shining Pearl']",[],[],['Legends ZA']
18,Pidgeot,,"['Red', 'Green', 'Blue', 'Yellow']","['Fire Red', 'Leaf Green']","['Gold', 'Silver', 'Crystal']",[],"['Diamond', 'Pearl', 'Platinum']","['Heart Gold', 'Soul Silver']",['White'],[],"['X', 'Y']","['Omega Ruby', 'Alpha Sapphire']",[],[],"['Lets Go Pikachu', 'Lets Go Eevee']",[],"['Brilliant Diamond', 'Shining Pearl']",[],[],['Legends ZA']
19,Rattata,,"['Red', 'Green', 'Blue', 'Yellow']","['Fire Red', 'Leaf Green']","['Gold', 'Silver', 'Crystal']",[],"['Diamond', 'Pearl', 'Platinum']","['Heart Gold', 'Soul Silver']","['Black', 'White']","['Black 2', 'White 2']",[],"['Omega Ruby', 'Alpha Sapphire']","['Sun', 'Moon']",[],"['Lets Go Pikachu', 'Lets Go Eevee']",[],"['Brilliant Diamond', 'Shining Pearl']",[],[],[]
20,Raticate,,"['Red', 'Green', 'Blue', 'Yellow']","['Fire Red', 'Leaf Green']","['Gold', 'Silver', 'Crystal']",[],"['Diamond', 'Pearl', 'Platinum']","['Heart Gold', 'Soul Silver']","['Black', 'White']","['Black 2', 'White 2']",[],"['Omega Ruby', 'Alpha Sapphire']","['Sun', 'Moon']",[],"['Lets Go Pikachu', 'Lets Go Eevee']",[],"['Brilliant Diamond', 'Shining Pearl']",[],[],[]
21,Spearow,,"['Red', 'Green', 'Blue', 'Yellow']","['Fire Red', 'Leaf Green']","['Gold', 'Silver', 'Crystal']",[],"['Diamond', 'Pearl', 'Platinum']","['Heart Gold', 'Soul Silver']","['Black', 'White']","['Black 2', 'White 2']","['X', 'Y']",[],"['Sun', 'Moon']",[],"['Lets Go Pikachu', 'Lets Go Eevee']",[],"['Brilliant Diamond', 'Shining Pearl']",[],[],[]
22,Fearow,,"['Red', 'Green', 'Blue', 'Yellow']","['Fire Red', 'Leaf Green']","['Gold', 'Silver', 'Crystal']",[],"['Diamond', 'Pearl', 'Platinum']","['Heart Gold', 'Soul Silver']","['Black', 'White']","['Black 2', 'White 2']","['X', 'Y']",[],"['Sun', 'Moon']",[],"['Lets Go Pikachu', 'Lets Go Eevee']",[],"['Brilliant Diamond', 'Shining Pearl']",[],[],[]
23,Ekans,,['Red'],['Fire Red'],"['Gold', 'Silver', 'Crystal']",[],"['Diamond', 'Pearl', 'Platinum']","['Heart Gold', 'Soul Silver']",[],[],"['X', 'Y']",[],[],[],['Lets Go Eevee'],[],['Brilliant Diamond'],[],"['Scarlet', 'Violet']",['Legends ZA']
24,Arbok,,['Red'],['Fire Red'],"['Gold', 'Silver', 'Crystal']",[],"['Diamond', 'Pearl', 'Platinum']","['Heart Gold', 'Soul Silver']",[],[],"['X', 'Y']",[],[],[],['Lets Go Eevee'],[],['Brilliant Diamond'],[],"['Scarlet', 'Violet']",['Legends ZA']
25,Pikachu,,"['Red', 'Green', 'Blue', 'Yellow']","['Fire Red', 'Leaf Green']","['Gold', 'Silver', 'Crystal']","['Ruby', 'Sapphire', 'Emerald']","['Diamond', 'Pearl', 'Platinum']","['Heart Gold', 'Soul Silver']",[],[],"['X', 'Y']","['Omega Ruby', 'Alpha Sapphire']","['Sun', 'Moon']",[],"['Lets Go Pikachu', 'Lets Go Eevee']","['Sword', 'Shield']","['Brilliant Diamond', 'Shining Pearl']",['Legends Arceus'],"['Scarlet', 'Violet']",['Legends ZA']
26,Raichu,,"['Red', 'Green', 'Blue']","['Fire Red', 'Leaf Green']","['Gold', 'Silver', 'Crystal']","['Ruby', 'Sapphire', 'Emerald']","['Diamond', 'Pearl', 'Platinum']","['Heart Gold', 'Soul Silver']",[],[],"['X', 'Y']","['Omega Ruby', 'Alpha Sapphire']",[],[],"['Lets Go Pikachu', 'Lets Go Eevee']","['Sword', 'Shield']","['Brilliant Diamond', 'Shining Pearl']",['Legends Arceus'],"['Scarlet', 'Violet']",['Legends ZA']
26,Raichu,Alolan,[],[],[],[],[],[],[],[],[],[],[],[],[],"['Sword', 'Shield']",[],[],"['Scarlet', 'Violet']",['Legends ZA']
27,Sandshrew,,"['Green', 'Blue', 'Yellow']",['Leaf Green'],"['Gold', 'Silver', 'Crystal']","['Ruby', 'Sapphire', 'Emerald']","['Diamond', 'Pearl', 'Platinum']","['Heart Gold', 'Soul Silver']","['Black', 'White']","['Black 2', 'White 2']","['X', 'Y']","['Omega Ruby', 'Alpha Sapphire']","['Sun', 'Moon']",[],['Lets Go Pikachu'],"['Sword', 'Shield']",['Shining Pearl'],[],"['Scarlet', 'Violet']",[]
27,Sandshrew,Alolan,[],[],[],[],[],[],[],[],[],[],[],[],[],"['Sword', 'Shield']",[],[],"['Scarlet', 'Violet']",[]
28,Sandslash,,"['Green', 'Blue', 'Yellow']",['Leaf Green'],"['Gold', 'Silver', 'Crystal']","['Ruby', 'Sapphire', 'Emerald']","['Diamond', 'Pearl', 'Platinum']","['Heart Gold', 'Soul Silver']","['Black', 'White']","['Black 2', 'White 2']","['X', 'Y']","['Omega Ruby', 'Alpha Sapphire']","['Sun', 'Moon']",[],['Lets Go Pikachu'],"['Sword', 'Shield']",['Shining Pearl'],[],"['Scarlet', 'Violet']",[]
28,Sandslash,Alolan,[],[],[],[],[],[],[],[],[],[],[],[],[],"['Sword', 'Shield']",[],[],"['Scarlet', 'Violet']",[]
29,Nidoran-F,,"['Red', 'Green', 'Blue', 'Yellow']","['Fire Red', 'Leaf Green']","['Gold', 'Silver', 'Crystal']",[],"['Diamond', 'Pearl', 'Platinum']","['Heart Gold', 'Soul Silver']",['White'],"['Black 2', 'White 2']","['X', 'Y']","['Omega Ruby', 'Alpha Sapphire']","['Sun', 'Moon']",[],"['Lets Go Pikachu', 'Lets Go Eevee']","['Sword', 'Shield']","['Brilliant Diamond', 'Shining Pearl']",[],[],[]
30,Nidorina,,"['Red', 'Green', 'Blue', 'Yellow']","['Fire Red', 'Leaf Green']","['Gold', 'Silver', 'Crystal']",[],"['Diamond', 'Pearl', 'Platinum']","['Heart Gold', 'Soul Silver']",['White'],"['Black 2', 'White 2']","['X', 'Y']",[],[],[],"['Lets Go Pikachu', 'Lets Go Eevee']","['Sword', 'Shield']","['Brilliant Diamond', 'Shining Pearl']",[],[],[]
31,Nidoqueen,,"['Red', 'Green', 'Blue', 'Yellow']","['Fire Red', 'Leaf Green']","['Gold', 'Silver', 'Crystal']",[],"['Diamond', 'Pearl', 'Platinum']","['Heart Gold', 'Soul Silver']",['White'],"['Black 2', 'White 2']","['X', 'Y']",[],[],[],"['Lets Go Pikachu', 'Lets Go Eevee']","['Sword', 'Shield']","['Brilliant Diamond', 'Shining Pearl']",[],[],[]
32,Nidoran-M,,"['Red', 'Green', 'Blue', 'Yellow']","['Fire Red', 'Leaf Green']","['Gold', 'Silver', 'Crystal']",[],"['Diamond', 'Pearl', 'Platinum']","['Heart Gold', 'Soul Silver']",['White'],"['Black 2', 'White 2']","['X', 'Y']","['Omega Ruby', 'Alpha Sapphire']","['Sun', 'Moon']",[],"['Lets Go Pikachu', 'Lets Go Eevee']","['Sword', 'Shield']","['Brilliant Diamond', 'Shining Pearl']",[],[],[]
33,Nidorino,,"['Red', 'Green', 'Blue', 'Yellow']","['Fire Red', 'Leaf Green']","['Gold', 'Silver', 'Crystal']",[],"['Diamond', 'Pearl', 'Platinum']","['Heart Gold', 'Soul Silver']",['White'],"['Black 2', 'White 2']","['X', 'Y']",[],[],[],"['Lets Go Pikachu', 'Lets Go Eevee']","['Sword', 'Shield']","['Brilliant Diamond', 'Shining Pearl']",[],[],[]
34,Nidoking,,"['Red', 'Green', 'Blue', 'Yellow']","['Fire Red', 'Leaf Green']","['Gold', 'Silver', 'Crystal']",[],"['Diamond', 'Pearl', 'Platinum']","['Heart Gold', 'Soul Silver']",['White'],"['Black 2', 'White 2']","['X', 'Y']",[],[],[],"['Lets Go Pikachu', 'Lets Go Eevee']","['Sword', 'Shield']","['Brilliant Diamond', 'Shining Pearl']",[],[],[]
35,Clefairy,,"['Red', 'Green', 'Blue', 'Yellow']","['Fire Red', 'Leaf Green']","['Gold', 'Silver', 'Crystal']",[],"['Diamond', 'Pearl', 'Platinum']","['Heart Gold', 'Soul Silver']","['Black', 'White']","['Black 2', 'White 2']","['X', 'Y']","['Omega Ruby', 'Alpha Sapphire']","['Sun', 'Moon']",[],"['Lets Go Pikachu', 'Lets Go Eevee']","['Sword', 'Shield']","['Brilliant Diamond', 'Shining Pearl']",['Legends Arceus'],"['Scarlet', 'Violet']",['Legends ZA']
36,Clefable,,"['Red', 'Green', 'Blue', 'Yellow']","['Fire Red', 'Leaf Green']","['Gold', 'Silver', 'Crystal']",[],"['Diamond', 'Pearl', 'Platinum']","['Heart Gold', 'Soul Silver']","['Black', 'White']","['Black 2', 'White 2']","['X', 'Y']","['Omega Ruby', 'Alpha Sapphire']","['Sun', 'Moon']",[],"['Lets Go Pikachu', 'Lets Go Eevee']","['Sword', 'Shield']","['Brilliant Diamond', 'Shining Pearl']",['Legends Arceus'],"['Scarlet', 'Violet']",['Legends ZA']
37,Vulpix,,"['Green', 'Yellow']",['Leaf Green'],['Silver'],"['Ruby', 'Sapphire', 'Emerald']","['Diamond', 'Pearl', 'Platinum']",['Soul Silver'],"['Black', 'White']","['Black 2', 'White 2']","['X', 'Y']","['Omega Ruby', 'Alpha Sapphire']","['Sun', 'Moon']",[],['Lets Go Eevee'],"['Sword', 'Shield']",['Shining Pearl'],['Legends Arceus'],"['Scarlet', 'Violet']",[]
37,Vulpix,Alolan,[],[],[],[],[],[],[],[],[],[],[],[],[],"['Sword', 'Shield']",[],['Legends Arceus'],"['Scarlet', 'Violet']",[]
38,Ninetales,,"['Green', 'Yellow']",['Leaf Green'],['Silver'],"['Ruby', 'Sapphire', 'Emerald']","['Diamond', 'Pearl', 'Platinum']",['Soul Silver'],"['Black', 'White']","['Black 2', 'White 2']","['X', 'Y']","['Omega Ruby', 'Alpha Sapphire']","['Sun', 'Moon']",[],['Lets Go Eevee'],"['Sword', 'Shield']",['Shining Pearl'],['Legends Arceus'],"['Scarlet', 'Violet']",[]
38,Ninetales,Alolan,[],[],[],[],[],[],[],[],[],[],[],[],[],"['Sword', 'Shield']",[],['Legends Arceus'],"['Scarlet', 'Violet']",[]
39,Jigglypuff,,"['Red', 'Green', 'Blue', 'Yellow']","['Fire Red', 'Leaf Green']","['Gold', 'Silver', 'Crystal']","['Ruby', 'Sapphire', 'Emerald']","['Diamond', 'Pearl', 'Platinum']","['Heart Gold', 'Soul Silver']","['Black', 'White']","['Black 2', 'White 2']","['X', 'Y']","['Omega Ruby', 'Alpha Sapphire']","['Sun', 'Moon']",[],"['Lets Go Pikachu', 'Lets Go Eevee']","['Sword', 'Shield']","['Brilliant Diamond', 'Shining Pearl']",[],"['Scarlet', 'Violet']",['Legends ZA']
40,Wigglytuff,,"['Red', 'Green', 'Blue', 'Yellow']","['Fire Red', 'Leaf Green']","['Gold', 'Silver', 'Crystal']","['Ruby', 'Sapphire', 'Emerald']","['Diamond', 'Pearl', 'Platinum']","['Heart Gold', 'Soul Silver']","['Black', 'White']","['Black 2', 'White 2']","['X', 'Y']","['Omega Ruby', 'Alpha Sapphire']","['Sun', 'Moon']",[],"['Lets Go Pikachu', 'Lets Go Eevee']","['Sword', 'Shield']","['Brilliant Diamond', 'Shining Pearl']",[],"['Scarlet', 'Violet']",['Legends ZA']
41,Zubat,,"['Red', 'Green', 'Blue', 'Yellow']","['Fire Red', 'Leaf Green']","['Gold', 'Silver', 'Crystal']","['Ruby', 'Sapphire', 'Emerald']","['Diamond', 'Pearl', 'Platinum']","['Heart Gold', 'Soul Silver']","['Black', 'White']","['Black 2', 'White 2']","['X', 'Y']","['Omega Ruby', 'Alpha Sapphire']","['Sun', 'Moon']",[],"['Lets Go Pikachu', 'Lets Go Eevee']","['Sword', 'Shield']","['Brilliant Diamond', 'Shining Pearl']",['Legends Arceus'],[],['Legends ZA']
42,Golbat,,"['Red', 'Green', 'Blue', 'Yellow']","['Fire Red', 'Leaf Green']","['Gold', 'Silver', 'Crystal']","['Ruby', 'Sapphire', 'Emerald']","['Diamond', 'Pearl', 'Platinum']","['Heart Gold', 'Soul Silver']","['Black', 'White']","['Black 2', 'White 2']","['X', 'Y']","['Omega Ruby', 'Alpha Sapphire']","['Sun', 'Moon']",[],"['Lets Go Pikachu', 'Lets Go Eevee']","['Sword', 'Shield']","['Brilliant Diamond', 'Shining Pearl']",['Legends Arceus'],[],['Legends ZA']
43,Oddish,,"['Red', 'Blue', 'Yellow']",['Fire Red'],"['Gold', 'Silver', 'Crystal']","['Ruby', 'Sapphire', 'Emerald']","['Diamond', 'Pearl', 'Platinum']","['Heart Gold', 'Soul Silver']",['White'],[],"['X', 'Y']","['Omega Ruby', 'Alpha Sapphire']",[],[],['Lets Go Pikachu'],"['Sword', 'Shield']","['Brilliant Diamond', 'Shining Pearl']",[],"['Scarlet', 'Violet']",[]
44,Gloom,,"['Red', 'Blue', 'Yellow']",['Fire Red'],"['Gold', 'Silver', 'Crystal']","['Ruby', 'Sapphire', 'Emerald']","['Diamond', 'Pearl', 'Platinum']","['Heart Gold', 'Soul Silver']",['White'],[],"['X', 'Y']","['Omega Ruby', 'Alpha Sapphire']",[],[],['Lets Go Pikachu'],"['Sword', 'Shield']","['Brilliant Diamond', 'Shining Pearl']",[],"['Scarlet', 'Violet']",[]
45,Vileplume,,"['Red', 'Blue', 'Yellow']",['Fire Red'],"['Gold', 'Silver', 'Crystal']","['Ruby', 'Sapphire', 'Emerald']","['Diamond', 'Pearl', 'Platinum']","['Heart Gold', 'Soul Silver']",['White'],[],"['X', 'Y']","['Omega Ruby', 'Alpha Sapphire']",[],[],['Lets Go Pikachu'],"['Sword', 'Shield']","['Brilliant Diamond', 'Shining Pearl']",[],"['Scarlet', 'Violet']",[]
46,Paras,,"['Red', 'Green', 'Blue', 'Yellow']","['Fire Red', 'Leaf Green']","['Gold', 'Silver', 'Crystal']",[],"['Diamond', 'Pearl', 'Platinum']","['Heart Gold', 'Soul Silver']",['White'],[],"['X', 'Y']","['Omega Ruby', 'Alpha Sapphire']","['Sun', 'Moon']",[],"['Lets Go Pikachu', 'Lets Go Eevee']",[],"['Brilliant Diamond', 'Shining Pearl']",['Legends Arceus'],[],[]
47,Parasect,,"['Red', 'Green', 'Blue', 'Yellow']","['Fire Red', 'Leaf Green']","['Gold', 'Silver', 'Crystal']",[],"['Diamond', 'Pearl', 'Platinum']","['Heart Gold', 'Soul Silver']",['White'],[],"['X', 'Y']","['Omega Ruby', 'Alpha Sapphire']","['Sun', 'Moon']",[],"['Lets Go Pikachu', 'Lets Go Eevee']",[],"['Brilliant Diamond', 'Shining Pearl']",['Legends Arceus'],[],[]
48,Venonat,,"['Red', 'Green', 'Blue', 'Yellow']","['Fire Red', 'Leaf Green']","['Gold', 'Silver', 'Crystal']",[],"['Diamond', 'Pearl', 'Platinum']","['Heart Gold', 'Soul Silver']","['Black', 'White']","['Black 2', 'White 2']","['X', 'Y']","['Omega Ruby', 'Alpha Sapphire']",[],[],"['Lets Go Pikachu', 'Lets Go Eevee']",[],"['Brilliant Diamond', 'Shining Pearl']",[],"['Scarlet', 'Violet']",[]
49,Venomoth,,"['Red', 'Green', 'Blue', 'Yellow']","['Fire Red', 'Leaf Green']","['Gold', 'Silver', 'Crystal']",[],"['Diamond', 'Pearl', 'Platinum']","['Heart Gold', 'Soul Silver']","['Black', 'White']","['Black 2', 'White 2']","['X', 'Y']","['Omega Ruby', 'Alpha Sapphire']",[],[],"['Lets Go Pikachu', 'Lets Go Eevee']",[],"['Brilliant Diamond', 'Shining Pearl']",[],"['Scarlet', 'Violet']",[]
50,Diglett,,"['Red', 'Green', 'Blue', 'Yellow']","['Fire Red', 'Leaf Green']","['Gold', 'Silver', 'Crystal']",[],"['Diamond', 'Pearl', 'Platinum']","['Heart Gold', 'Soul Silver']",[],[],"['X', 'Y']","['Omega Ruby', 'Alpha Sapphire']","['Sun', 'Moon']",[],"['Lets Go Pikachu', 'Lets Go Eevee']","['Sword', 'Shield']","['Brilliant Diamond', 'Shining Pearl']",[],"['Scarlet', 'Violet']",[]
50,Diglett,Alolan,[],[],[],[],[],[],[],[],[],[],[],[],[],"['Sword', 'Shield']",[],[],"['Scarlet', 'Violet']",[]
51,Dugtrio,,"['Red', 'Green', 'Blue', 'Yellow']","['Fire Red', 'Leaf Green']","['Gold', 'Silver', 'Crystal']",[],"['Diamond', 'Pearl', 'Platinum']","['Heart Gold', 'Soul Silver']",[],[],"['X', 'Y']","['Omega Ruby', 'Alpha Sapphire']","['Sun', 'Moon']",[],"['Lets Go Pikachu', 'Lets Go Eevee']","['Sword', 'Shield']","['Brilliant Diamond', 'Shining Pearl']",[],"['Scarlet', 'Violet']",[]
51,Dugtrio,Alolan,[],[],[],[],[],[],[],[],[],[],[],[],[],"['Sword', 'Shield']",[],[],"['Scarlet', 'Violet']",[]
52,Meowth,,"['Green', 'Blue']","['Fire Red', 'Leaf Green']","['Silver', 'Crystal']",['Emerald'],"['Diamond', 'Pearl', 'Platinum']",['Soul Silver'],[],"['Black 2', 'White 2']",[],"['Omega Ruby', 'Alpha Sapphire']","['Sun', 'Moon']",[],['Lets Go Eevee'],"['Sword', 'Shield']","['Brilliant Diamond', 'Shining Pearl']",[],"['Scarlet', 'Violet']",['Legends ZA']
52,Meowth,Alolan,[],[],[],[],[],[],[],[],[],[],[],[],[],"['Sword', 'Shield']",[],[],"['Scarlet', 'Violet']",['Legends ZA']
52,Meowth,Galarian,[],[],[],[],[],[],[],[],[],[],[],[],[],"['Sword', 'Shield']",[],[],"['Scarlet', 'Violet']",['Legends ZA']
53,Persian,,"['Green', 'Blue']","['Fire Red', 'Leaf Green']","['Silver', 'Crystal']",['Emerald'],"['Diamond', 'Pearl', 'Platinum']",['Soul Silver'],[],"['Black 2', 'White 2']",[],"['Omega Ruby', 'Alpha Sapphire']","['Sun', 'Moon']",[],"['Lets Go Pikachu', 'Lets Go Eevee']","['Sword', 'Shield']","['Brilliant Diamond', 'Shining Pearl']",[],"['Scarlet', 'Violet']",['Legends ZA']
53,Persian,Alolan,[],[],[],[],[],[],[],[],[],[],[],[],[],"['Sword', 'Shield']",[],[],"['Scarlet', 'Violet']",['Legends ZA']
54,Psyduck,,"['Red', 'Green', 'Blue', 'Yellow']",['Fire Red'],"['Gold', 'Silver', 'Crystal']","['Ruby', 'Sapphire', 'Emerald']","['Diamond', 'Pearl', 'Platinum']","['Heart Gold', 'Soul Silver']","['Black', 'White']","['Black 2', 'White 2']","['X', 'Y']","['Omega Ruby', 'Alpha Sapphire']","['Sun', 'Moon']",[],"['Lets Go Pikachu', 'Lets Go Eevee']","['Sword', 'Shield']","['Brilliant Diamond', 'Shining Pearl']",['Legends Arceus'],"['Scarlet', 'Violet']",[]
55,Golduck,,"['Red', 'Green', 'Blue', 'Yellow']",['Fire Red'],"['Gold', 'Silver', 'Crystal']","['Ruby', 'Sapphire', 'Emerald']","['Diamond', 'Pearl', 'Platinum']","['Heart Gold', 'Soul Silver']","['Black', 'White']","['Black 2', 'White 2']","['X', 'Y']","['Omega Ruby', 'Alpha Sapphire']","['Sun', 'Moon']",[],"['Lets Go Pikachu', 'Lets Go Eevee']","['Sword', 'Shield']","['Brilliant Diamond', 'Shining Pearl']",['Legends Arceus'],"['Scarlet', 'Violet']",[]
56,Mankey,,"['Red', 'Yellow']","['Fire Red', 'Leaf Green']",['Gold'],[],"['Diamond', 'Pearl', 'Platinum']",['Heart Gold'],"['Black', 'White']","['Black 2', 'White 2']","['X', 'Y']","['Omega Ruby', 'Alpha Sapphire']","['Sun', 'Moon']",[],['Lets Go Pikachu'],[],"['Brilliant Diamond', 'Shining Pearl']",[],"['Scarlet', 'Violet']",['Legends ZA']
57,Primeape,,"['Red', 'Yellow']","['Fire Red', 'Leaf Green']",['Gold'],[],"['Diamond', 'Pearl', 'Platinum']",['Heart Gold'],"['Black', 'White']","['Black 2', 'White 2']","['X', 'Y']","['Omega Ruby', 'Alpha Sapphire']","['Sun', 'Moon']",[],['Lets Go Pikachu'],[],"['Brilliant Diamond', 'Shining Pearl']",[],"['Scarlet', 'Violet']",['Legends ZA']
58,Growlithe,,"['Red', 'Blue', 'Yellow']",['Fire Red'],"['Gold', 'Crystal']",[],"['Diamond', 'Pearl', 'Platinum']",['Heart Gold'],[],"['Black 2', 'White 2']","['X', 'Y']","['Omega Ruby', 'Alpha Sapphire']","['Sun', 'Moon']",[],['Lets Go Pikachu'],"['Sword', 'Shield']",['Brilliant Diamond'],[],"['Scarlet', 'Violet']",[]
58,Growlithe,Hisuian,[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],['Legends Arceus'],"['Scarlet', 'Violet']",[]
