Pokemon     , Form         , Series, National_Dex
Camerupt    ,              , ZA    ,        323.0
Hippopotas  ,              , ZA    ,        449.0
Hippowdon   ,              , ZA    ,        450.0
Drilbur     ,              , ZA    ,        529.0
Excadrill   ,              , ZA    ,        530.0
Sandile     ,              , ZA    ,        551.0
Krokorok    ,              , ZA    ,        552.0
Krookodile  ,              , ZA    ,        553.0
Machop      ,              , ZA    ,         66.0
Machoke     ,              , ZA    ,         67.0
Machamp     ,              , ZA    ,         68.0
Gible       ,              , ZA    ,        443.0
Gabite      ,              , ZA    ,        444.0
Garchomp    ,              , ZA    ,        445.0
Carbink     ,              , ZA    ,        703.0
Sableye     ,              , ZA    ,        302.0
Mawile      ,              , ZA    ,        303.0
Absol       ,              , ZA    ,        359.0
Riolu       ,              , ZA    ,        447.0
Lucario     ,              , ZA    ,        448.0
Slowpoke    ,              , ZA    ,         79.0
Slowpoke    , Galarian     , ZA    ,         79.0
Slowbro     ,              , ZA    ,         80.0
Slowbro     , Galarian     , ZA    ,         80.0
Slowking    ,              , ZA    ,        199.0
Slowking    , Galarian     , ZA    ,        199.0
Carvanha    ,              , ZA    ,        318.0
Sharpedo    ,              , ZA    ,        319.0
Tynamo      ,              , ZA    ,        602.0
Eelektrik   ,              , ZA    ,        603.0
Eelektross  ,              , ZA    ,        604.0
Dratini     ,              , ZA    ,        147.0
Dragonair   ,              , ZA    ,        148.0
Dragonite   ,              , ZA    ,        149.0
Bulbasaur   ,              , ZA    ,          1.0
Ivysaur     ,              , ZA    ,          2.0
Venusaur    ,              , ZA    ,          3.0
Charmander  ,              , ZA    ,          4.0
Charmeleon  ,              , ZA    ,          5.0
Charizard   ,              , ZA    ,          6.0
Squirtle    ,              , ZA    ,          7.0
Wartortle   ,              , ZA    ,          8.0
Blastoise   ,              , ZA    ,          9.0
Stunfisk    ,              , ZA    ,        618.0
Stunfisk    , Galarian     , ZA    ,        618.0
Furfrou     ,              , ZA    ,        676.0
Inkay       ,              , ZA    ,        686.0
Malamar     ,              , ZA    ,        687.0
Skrelp      ,              , ZA    ,        690.0
Dragalge    ,              , ZA    ,        691.0
Clauncher   ,              , ZA    ,        692.0
Clawitzer   ,              , ZA    ,        693.0
Goomy       ,              , ZA    ,        704.0
Sliggoo     ,              , ZA    ,        705.0
Goodra      ,              , ZA    ,        706.0
Delibird    ,              , ZA    ,        225.0
Snorunt     ,              , ZA    ,        361.0
Glalie      ,              , ZA    ,        362.0
Froslass    ,              , ZA    ,        478.0
Snover      ,              , ZA    ,        459.0
Abomasnow   ,              , ZA    ,        460.0
Bergmite    ,              , ZA    ,        712.0
Avalugg     ,              , ZA    ,        713.0
Scyther     ,              , ZA    ,        123.0
Scizor      ,              , ZA    ,        212.0
Pinsir      ,              , ZA    ,        127.0
Heracross   ,              , ZA    ,        214.0
Emolga      ,              , ZA    ,        587.0
Hawlucha    ,              , ZA    ,        701.0
Phantump    ,              , ZA    ,        708.0
Trevenant   ,              , ZA    ,        709.0
Scraggy     ,              , ZA    ,        559.0
Scrafty     ,              , ZA    ,        560.0
Noibat      ,              , ZA    ,        714.0
Noivern     ,              , ZA    ,        715.0
Klefki      ,              , ZA    ,        707.0
Litwick     ,              , ZA    ,        607.0
Lampent     ,              , ZA    ,        608.0
Chandelure  ,              , ZA    ,        609.0
Aerodactyl  ,              , ZA    ,        142.0
Tyrunt      ,              , ZA    ,        696.0
Tyrantrum   ,              , ZA    ,        697.0
Amaura      ,              , ZA    ,        698.0
Aurorus     ,              , ZA    ,        699.0
Onix        ,              , ZA    ,         95.0
Steelix     ,              , ZA    ,        208.0
Aron        ,              , ZA    ,        304.0
Lairon      ,              , ZA    ,        305.0
Aggron      ,              , ZA    ,        306.0
Helioptile  ,              , ZA    ,        694.0
Heliolisk   ,              , ZA    ,        695.0
Pumpkaboo   ,              , ZA    ,        710.0
Larvitar    ,              , ZA    ,        246.0
Pupitar     ,              , ZA    ,        247.0
Tyranitar   ,              , ZA    ,        248.0
Froakie     ,              , ZA    ,        656.0
Frogadier   ,              , ZA    ,        657.0
Greninja    ,              , ZA    ,        658.0
Falinks     ,              , ZA    ,        870.0
Chespin     ,              , ZA    ,        650.0
Quilladin   ,              , ZA    ,        651.0
Chesnaught  ,              , ZA    ,        652.0
Skarmory    ,              , ZA    ,        227.0
Fennekin    ,              , ZA    ,        653.0
Braixen     ,              , ZA    ,        654.0
Delphox     ,              , ZA    ,        655.0
Bagon       ,              , ZA    ,        371.0
Shelgon     ,              , ZA    ,        372.0
Salamence   ,              , ZA    ,        373.0
Kangaskhan  ,              , ZA    ,        115.0
Drampa      ,              , ZA    ,        780.0
Beldum      ,              , ZA    ,        374.0
Metang      ,              , ZA    ,        375.0
Metagross   ,              , ZA    ,        376.0
Xerneas     ,              , ZA    ,        716.0
Yveltal     ,              , ZA    ,        717.0
Zygarde     ,              , ZA    ,        718.0
Diancie     ,              , ZA    ,        719.0
Mewtwo      ,              , ZA    ,        150.0
Mankey      ,              , ZA    ,         56.0
Primeape    ,              , ZA    ,         57.0
Annihilape  ,              , ZA    ,        979.0
Meowth      ,              , ZA    ,         52.0
Meowth      , Alolan       , ZA    ,         52.0
Meowth      , Galarian     , ZA    ,         52.0
Persian     ,              , ZA    ,         53.0
Persian     , Alolan       , ZA    ,         53.0
Perrserker  ,              , ZA    ,        863.0
Farfetch'd  ,              , ZA    ,         83.0
Farfetch'd  , Galarian     , ZA    ,         83.0
Sirfetch'd  ,              , ZA    ,        865.0
Cubone      ,              , ZA    ,        104.0
Marowak     ,              , ZA    ,        105.0
Marowak     , Alolan       , ZA    ,        105.0
Porygon     ,              , ZA    ,        137.0
Porygon2    ,              , ZA    ,        233.0
Porygon-Z   ,              , ZA    ,        474.0
Capsakid    ,              , ZA    ,        951.0
Scovillain  ,              , ZA    ,        952.0
Tinkatink   ,              , ZA    ,        957.0
Tinkatuff   ,              , ZA    ,        958.0
Tinkaton    ,              , ZA    ,        959.0
Cyclizar    ,              , ZA    ,        967.0
Glimmet     ,              , ZA    ,        969.0
Glimmora    ,              , ZA    ,        970.0
Rotom       ,              , ZA    ,        479.0
Rotom       , Heat         , ZA    ,        479.0
Rotom       , Wash         , ZA    ,        479.0
Rotom       , Frost        , ZA    ,        479.0
Rotom       , Fan          , ZA    ,        479.0
Rotom       , Mow          , ZA    ,        479.0
Greavard    ,              , ZA    ,        971.0
Houndstone  ,              , ZA    ,        972.0
Sandygast   ,              , ZA    ,        769.0
Palossand   ,              , ZA    ,        770.0
Kecleon     ,              , ZA    ,        352.0
Flamigo     ,              , ZA    ,        973.0
Cryogonal   ,              , ZA    ,        615.0
Dondozo     ,              , ZA    ,        977.0
Tatsugiri   , Curly Form   , ZA    ,        978.0
Tatsugiri   , Droopy Form  , ZA    ,        978.0
Tatsugiri   , Stretchy Form, ZA    ,        978.0
Frigibax    ,              , ZA    ,        996.0
Arctibax    ,              , ZA    ,        997.0
Baxcalibur  ,              , ZA    ,        998.0
Gimmighoul  ,              , ZA    ,        999.0
Gholdengo   ,              , ZA    ,       1000.0
Qwilfish    ,              , ZA    ,        211.0
Qwilfish    , Hisuian      , ZA    ,        211.0
Overqwil    ,              , ZA    ,        904.0
Treecko     ,              , ZA    ,        252.0
Grovyle     ,              , ZA    ,        253.0
Sceptile    ,              , ZA    ,        254.0
Torchic     ,              , ZA    ,        255.0
Combusken   ,              , ZA    ,        256.0
Blaziken    ,              , ZA    ,        257.0
Mudkip      ,              , ZA    ,        258.0
Marshtomp   ,              , ZA    ,        259.0
Swampert    ,              , ZA    ,        260.0
Feebas      ,              , ZA    ,        349.0
Milotic     ,              , ZA    ,        350.0
Chingling   ,              , ZA    ,        433.0
Chimecho    ,              , ZA    ,        358.0
Indeedee    ,              , ZA    ,        876
Purrloin    ,              , ZA    ,        509.0
Liepard     ,              , ZA    ,        510.0
Munna       ,              , ZA    ,        517.0
Musharna    ,              , ZA    ,        518.0
Throh       ,              , ZA    ,        538.0
Sawk        ,              , ZA    ,        539.0
Yamask      ,              , ZA    ,        562.0
Yamask      , Galarian     , ZA    ,        562.0
Cofagrigus  ,              , ZA    ,        563.0
Runerigus   ,              , ZA    ,        867.0
Wimpod      ,              , ZA    ,        767.0
Golisopod   ,              , ZA    ,        768.0
Nickit      ,              , ZA    ,        827.0
Thievul     ,              , ZA    ,        828.0
Clobbopus   ,              , ZA    ,        852.0
Grapploct   ,              , ZA    ,        853.0
Mimikyu     ,              , ZA    ,        778.0
Kleavor     ,              , ZA    ,        900.0
Morpeko     ,              , ZA    ,        877.0
Golett      ,              , ZA    ,        622.0
Golurk      ,              , ZA    ,        623.0
Rookidee    ,              , ZA    ,        821.0
Corvisquire ,              , ZA    ,        822.0
Corviknight ,              , ZA    ,        823.0
Igglybuff   ,              , ZA    ,        174.0
Jigglypuff  ,              , ZA    ,         39.0
Wigglytuff  ,              , ZA    ,         40.0
Fidough     ,              , ZA    ,        926.0
Dachsbun    ,              , ZA    ,        927.0
Starly      ,              , ZA    ,        396.0
Staravia    ,              , ZA    ,        397.0
Staraptor   ,              , ZA    ,        398.0
Spoink      ,              , ZA    ,        325.0
Grumpig     ,              , ZA    ,        326.0
Squawkabilly,              , ZA    ,        931.0
Crabrawler  ,              , ZA    ,        739.0
Crabominable,              , ZA    ,        740.0
Nacli       ,              , ZA    ,        932.0
Naclstack   ,              , ZA    ,        933.0
Garganacl   ,              , ZA    ,        934.0
Gulpin      ,              , ZA    ,        316.0
Swalot      ,              , ZA    ,        317.0
Zubat       ,              , ZA    ,         41.0
Golbat      ,              , ZA    ,         42.0
Crobat      ,              , ZA    ,        169.0
Charcadet   ,              , ZA    ,        935.0
Armarouge   ,              , ZA    ,        936.0
Ceruledge   ,              , ZA    ,        937.0
Maschiff    ,              , ZA    ,        942.0
Mabosstiff  ,              , ZA    ,        943.0
Toxel       ,              , ZA    ,        848.0
Toxtricity  , Amped Form   , ZA    ,        849.0
Toxtricity  , Low Key Form , ZA    ,        849.0
Shroodle    ,              , ZA    ,        944.0
Grafaiai    ,              , ZA    ,        945.0
Zangoose    ,              , ZA    ,        335.0
Seviper     ,              , ZA    ,        336.0
Mime Jr.    ,              , ZA    ,        439.0
Mr. Mime    ,              , ZA    ,        122.0
Mr. Mime    , Galarian     , ZA    ,        122.0
Mr. Rime    ,              , ZA    ,        866.0
Foongus     ,              , ZA    ,        590.0
Amoonguss   ,              , ZA    ,        591.0
Heatran     ,              , ZA    ,        485.0
Volcanion   ,              , ZA    ,        721.0
Cobalion    ,              , ZA    ,        638.0
Terrakion   ,              , ZA    ,        639.0
Virizion    ,              , ZA    ,        640.0
Keldeo      ,              , ZA    ,        647.0
Keldeo      , Resolute Form, ZA    ,        647.0
Meloetta    ,              , ZA    ,        648.0
Genesect    ,              , ZA    ,        649.0
Hoopa       ,              , ZA    ,        720
Marshadow   ,              , ZA    ,        802.0
Meltan      ,              , ZA    ,        808.0
Melmetal    ,              , ZA    ,        809.0
Darkrai     ,              , ZA    ,        491.0
Latias      ,              , ZA    ,        380.0
Latios      ,              , ZA    ,        381.0
Kyogre      ,              , ZA    ,        382.0
Groudon     ,              , ZA    ,        383.0
Rayquaza    ,              , ZA    ,        384.0
Magearna    ,              , ZA    ,        801.0
Zeraora     ,              , ZA    ,        807.0
Avalugg     , Hisuian      , ZA    ,        713.0
Sliggoo     , Hisuian      , ZA    ,        705.0
Goodra      , Hisuian      , ZA    ,        706.0
